player_name,position,rank_pos,model_score,tier,nfl_team,source_url
Kimani Vidal,RB,13,38,Tier 5+ (Pre-Draft Ranges),LAC,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Tyrone Tracy,RB,14,35,Tier 5+ (Pre-Draft Ranges),NYG,https://www.legendaryupside.com/braelon-allen-on-the-back-of-a-hurricane-rookie-rb-tiers-3-5/
Marvin Harrison Jr.,WR,1,99,Tier 1 - A Generational Layup,ARI,https://www.legendaryupside.com/dont-overthink-marvin-harrison-jr-rookie-wrs-tiers-1-4/
Malik Nabers,WR,2,95,Tier 2 - Elite Upside,NYG,https://www.legendaryupside.com/dont-overthink-marvin-harrison-jr-rookie-wrs-tiers-1-4/
Rome Odunze,WR,3,90,Tier 2 - Elite Upside,CHI,https://www.legendaryupside.com/dont-overthink-marvin-harrison-jr-rookie-wrs-tiers-1-4/
Brian Thomas Jr.,WR,4,85,Tier 3-4,JAX,https://www.legendaryupside.com/dont-overthink-marvin-harrison-jr-rookie-wrs-tiers-1-4/
Adonai Mitchell,WR,5,75,Tier 5,IND,https://www.legendaryupside.com/take-the-leap-with-troy-franklin-rookie-wrs-tier-5/
Troy Franklin,WR,6,73,Tier 5 - Boom/Bust (Author Favorite),DEN,https://www.legendaryupside.com/take-the-leap-with-troy-franklin-rookie-wrs-tier-5/
Xavier Worthy,WR,7,70,Tier 5,KCC,https://www.legendaryupside.com/take-the-leap-with-troy-franklin-rookie-wrs-tier-5/
Ladd McConkey,WR,8,68,Tier 5,LAC,https://www.legendaryupside.com/take-the-leap-with-troy-franklin-rookie-wrs-tier-5/
Keon Coleman,WR,9,65,Tier 5,BUF,https://www.legendaryupside.com/take-the-leap-with-troy-franklin-rookie-wrs-tier-5/
Xavier Legette,WR,10,55,Tier 6 - Premium Dart Throws,CAR,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Ricky Pearsall,WR,11,50,Tier 7,SFO,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Ja'Lynn Polk,WR,12,45,Tier 7,NEP,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Roman Wilson,WR,13,42,Tier 7,PIT,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Malachi Corley,WR,14,38,Tier 7,NYJ,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Jermaine Burton,WR,15,35,Tier 7,CIN,https://www.legendaryupside.com/xavier-legette-and-learning-to-live-a-little-wrs-tiers-6-7/
Brock Bowers,TE,1,99,Tier 1 - YAC King,LVR,https://www.legendaryupside.com/brock-bowers-yac-king-rookie-tes-tiers-1-3/
Ben Sinnott,TE,2,75,Tier 2 - Premium Dart Throws,WAS,https://www.legendaryupside.com/brock-bowers-yac-king-rookie-tes-tiers-1-3/
Ja'Tavion Sanders,TE,3,55,Tier 3 (Implied),CAR,https://www.legendaryupside.com/brock-bowers-yac-king-rookie-tes-tiers-1-3/
Theo Johnson,TE,4,50,Tier 3 (Implied),NYG,https://www.legendaryupside.com/brock-bowers-yac-king-rookie-tes-tiers-1-3/
