player_name,position,nfl_team,adp_sf,adp_1qb,source,as_of_date,notes
Emmett Johnson,RB,KCC,2.10,2.09,KTC consensus,2026-04-28,KTC SF: 2.10; KTC 1QB: 2.09; pre-draft top 10 - fell on lack of NFL draft capital (R6)
Skyler Bell,WR,BUF,2.11,2.13,KTC+DynastyNerds consensus,2026-04-28,KTC SF: 2.11; KTC 1QB: 2.13; DN SF: 2.09
Ja'Kobi Lane,WR,BAL,2.12,2.12,KTC+DynastyNerds consensus,2026-04-28,KTC SF: 2.12; KTC 1QB: 2.12; DN SF: 2.04 (sharp DN tilt)
Kaytron Allen,RB,WAS,3.01,2.11,KTC consensus,2026-04-28,KTC SF: 2.13 (~3.01); KTC 1QB: 2.11; not in DN/PFN top 30
Antonio Williams,WR,WAS,3.02,2.14,KTC+DynastyNerds consensus,2026-04-28,KTC SF: 2.14; KTC 1QB: 2.14; DN SF: 2.11
Garrett Nussmeier,QB,KCC,3.03,2.18,KTC consensus,2026-04-28,KTC SF: 2.15 (~3.03); KTC 1QB: 2.18; QB3+ in class
Max Klare,TE,LAR,3.04,3.03,KTC+DynastyNerds consensus,2026-04-28,TE Premium relevant. KTC SF: 2.16; DN SF: 2.13; KTC 1QB: 2.15
Ted Hurst,WR,TBB,3.05,3.05,KTC+DynastyNerds consensus,2026-04-28,DN SF much higher at 2.01; KTC SF: 2.17; KTC 1QB: 2.16
Kevin Coleman Jr.,WR,MIA,3.06,3.05,KTC+DynastyNerds consensus,2026-04-28,KTC SF: 2.18; DN SF: 2.10; KTC 1QB: 2.17
Bryce Lance,WR,NOS,2.03,,DynastyNerds only,2026-04-28,DN SF: 1.15 (~2.03); not in KTC top 30 - DN-only ranking
Oscar Delp,TE,NOS,2.07,,DynastyNerds only,2026-04-28,TE Premium relevant. DN SF: 1.19 (~2.07); not in KTC top 30
Eli Raridon,TE,NE,2.08,,DynastyNerds only,2026-04-28,TE Premium relevant. DN SF: 1.20 (~2.08); not in KTC top 30
Matthew Hibner,TE,BAL,3.02,,DynastyNerds only,2026-04-28,TE Premium relevant. DN SF: 2.14; not in KTC top 30
