source_channel,source_file,message_author,message_date_raw,message_date_et,season_inferred,event_type,team_raw,player_raw,option,tcv,guaranteed,per_year,year_values_json,content
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-24T22:52:42.9960000-04:00,2024-08-24 22:52:42,2024,submission,Hawks,"Brown, Marquise",3,24000,18000,8000,"{""2024"": 8000, ""2025"": 8000, ""2026"": 8000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Brown, Marquise** for **3 years**.
Yearly Breakdown:
- Year 1: $8000
- Year 2: $8000
- Year 3: $8000
Total Contract Value (TCV): **$24000**
Guaranteed Amount: $18000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-24T23:39:23.0340000-04:00,2024-08-24 23:39:23,2024,submission,Hawks,"Lockett, Tyler",3,12000,9000,4000,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Lockett, Tyler** for **3 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
- Year 3: $4000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-24T23:40:06.2040000-04:00,2024-08-24 23:40:06,2024,submission,Hawks,"Warner, Fred",3,12000,9000,4000,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","HEAR YE! HEAR YE! 

**Hawks** has just made a contract submission!

A new contract for **Warner, Fred** for **3 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
- Year 3: $4000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-25T07:57:43.2510000-04:00,2024-08-25 07:57:43,2024,submission,Cleon Ca$h,"Jeudy, Jerry",3,9000,6750,3000,"{""2024"": 7000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Cleon Ca$h** has just made a contract submission!

A new contract for **Jeudy, Jerry** for **3 years**.
Yearly Breakdown:
- Year 1: $7000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$9000**
Guaranteed Amount: $6750

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-25T08:04:06.7390000-04:00,2024-08-25 08:04:06,2024,submission,Cleon Ca$h,"Smith, Roquan",3,12000,9000,4000,"{""2024"": 8000, ""2025"": 3000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Cleon Ca$h** has just made a contract submission!

A new contract for **Smith, Roquan** for **3 years**.
Yearly Breakdown:
- Year 1: $8000
- Year 2: $3000
- Year 3: $1000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-25T08:05:21.5080000-04:00,2024-08-25 08:05:21,2024,submission,C-Town Chivalry,"McKinney, Xavier",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**C-Town Chivalry** has just made a contract submission!

A new contract for **McKinney, Xavier** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-27T07:13:02.8000000-04:00,2024-08-27 07:13:02,2024,submission,Sex Manther,"Johnson, Theo",3,15000,11250,5000,"{""2024"": 5000, ""2025"": 5000, ""2026"": 5000}","HEAR YE! HEAR YE! 

**Sex Manther** has just made a contract submission!

A new contract for **Johnson, Theo** for **3 years**.
Yearly Breakdown:
- Year 1: $5000
- Year 2: $5000
- Year 3: $5000
Total Contract Value (TCV): **$15000**
Guaranteed Amount: $11250

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-30T10:07:29.8280000-04:00,2024-08-30 10:07:29,2024,submission,Real Deal Creel,"Davis, Gabriel",2,8000,6000,4000,"{""2024"": 4000, ""2025"": 4000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Davis, Gabriel** for **2 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
Total Contract Value (TCV): **$8000**
Guaranteed Amount: $6000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-30T10:08:57.4830000-04:00,2024-08-30 10:08:57,2024,submission,Real Deal Creel,"Chandler, Ty",2,18000,13500,9000,"{""2024"": 9000, ""2025"": 9000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Chandler, Ty** for **2 years**.
Yearly Breakdown:
- Year 1: $9000
- Year 2: $9000
Total Contract Value (TCV): **$18000**
Guaranteed Amount: $13500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-30T11:58:08.4180000-04:00,2024-08-30 11:58:08,2024,submission,Real Deal Creel,"Fant, Noah",3,12000,9000,4000,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Fant, Noah** for **3 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
- Year 3: $4000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-30T12:06:44.1280000-04:00,2024-08-30 12:06:44,2024,submission,Real Deal Creel,"Steele, Carson",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Steele, Carson** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-31T07:14:01.4730000-04:00,2024-08-31 07:14:01,2024,submission,C-Town Chivalry,"Metchie, John",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**C-Town Chivalry** has just made a contract submission!

A new contract for **Metchie, John** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-08-31T08:00:21.6520000-04:00,2024-08-31 08:00:21,2024,submission,Real Deal Creel,"Gipson, Xavier",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Real Deal Creel** has just made a contract submission!

A new contract for **Gipson, Xavier** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:31:23.4920000-04:00,2024-09-01 19:31:23,2024,submission,Ulterior Warrior,"Mason, Jordan",2,8000,6000,4000,"{""2024"": 4000, ""2025"": 4000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Mason, Jordan** for **2 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
Total Contract Value (TCV): **$8000**
Guaranteed Amount: $6000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:32:24.9160000-04:00,2024-09-01 19:32:24,2024,submission,Ulterior Warrior,"Meyers, Jakobi",3,12000,9000,4000,"{""2024"": 4000, ""2025"": 4000, ""2026"": 4000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Meyers, Jakobi** for **3 years**.
Yearly Breakdown:
- Year 1: $4000
- Year 2: $4000
- Year 3: $4000
Total Contract Value (TCV): **$12000**
Guaranteed Amount: $9000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:33:07.1000000-04:00,2024-09-01 19:33:07,2024,submission,Ulterior Warrior,"Williams, Mike",2,6000,4500,3000,"{""2024"": 3000, ""2025"": 3000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Williams, Mike** for **2 years**.
Yearly Breakdown:
- Year 1: $3000
- Year 2: $3000
Total Contract Value (TCV): **$6000**
Guaranteed Amount: $4500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:43:24.3940000-04:00,2024-09-01 19:43:24,2024,submission,Blake Bombers,"Tucker, Tre",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Blake Bombers** has just made a contract submission!

A new contract for **Tucker, Tre** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:53:10.3400000-04:00,2024-09-01 19:53:10,2024,submission,Ulterior Warrior,"Chubb, Bradley",2,6000,4500,3000,"{""2024"": 3000, ""2025"": 3000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Chubb, Bradley** for **2 years**.
Yearly Breakdown:
- Year 1: $3000
- Year 2: $3000
Total Contract Value (TCV): **$6000**
Guaranteed Amount: $4500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:54:36.5740000-04:00,2024-09-01 19:54:36,2024,submission,Ulterior Warrior,"Vaki, Sione",2,2000,1000,1000,"{""2024"": 1000, ""2025"": 1000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Vaki, Sione** for **2 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
Total Contract Value (TCV): **$2000**
Guaranteed Years: 1 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T19:58:43.4390000-04:00,2024-09-01 19:58:43,2024,submission,Ulterior Warrior,"Kmet, Cole",3,27000,20250,9000,"{""2024"": 20000, ""2025"": 1000, ""2026"": 6000}","HEAR YE! HEAR YE! 

**Ulterior Warrior** has just made a contract submission!

A new contract for **Kmet, Cole** for **3 years**.
Yearly Breakdown:
- Year 1: $20000
- Year 2: $1000
- Year 3: $6000
Total Contract Value (TCV): **$27000**
Guaranteed Amount: $20250

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:14:20.9460000-04:00,2024-09-01 20:14:20,2024,submission,Blake Bombers,"Curl, Kamren",2,4000,2000,2000,"{""2024"": 2000, ""2025"": 2000}","HEAR YE! HEAR YE! 

**Blake Bombers** has just made a contract submission!

A new contract for **Curl, Kamren** for **2 years**.
Yearly Breakdown:
- Year 1: $2000
- Year 2: $2000
Total Contract Value (TCV): **$4000**
Guaranteed Years: 1 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:16:08.2910000-04:00,2024-09-01 20:16:08,2024,submission,Blake Bombers,"Metellus, Josh",2,4000,2000,2000,"{""2024"": 2000, ""2025"": 2000}","HEAR YE! HEAR YE! 

**Blake Bombers** has just made a contract submission!

A new contract for **Metellus, Josh** for **2 years**.
Yearly Breakdown:
- Year 1: $2000
- Year 2: $2000
Total Contract Value (TCV): **$4000**
Guaranteed Years: 1 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:16:41.2180000-04:00,2024-09-01 20:16:41,2024,submission,Cleon Ca$h,"Diggs, Stefon",2,32000,24000,16000,"{""2024"": 16000, ""2025"": 16000}","HEAR YE! HEAR YE! 

**Cleon Ca$h** has just made a contract submission!

A new contract for **Diggs, Stefon** for **2 years**.
Yearly Breakdown:
- Year 1: $16000
- Year 2: $16000
Total Contract Value (TCV): **$32000**
Guaranteed Amount: $24000

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:41:28.7290000-04:00,2024-09-01 20:41:28,2024,submission,Pure Greatness,"Prescott, Dak",2,90000,67500,45000,"{""2024"": 45000, ""2025"": 45000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Prescott, Dak** for **2 years**.
Yearly Breakdown:
- Year 1: $45000
- Year 2: $45000
Total Contract Value (TCV): **$90000**
Guaranteed Amount: $67500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:42:42.4250000-04:00,2024-09-01 20:42:42,2024,submission,Pure Greatness,"Wilson, Russell",2,14000,10500,7000,"{""2024"": 10000, ""2025"": 4000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Wilson, Russell** for **2 years**.
Yearly Breakdown:
- Year 1: $10000
- Year 2: $4000
Total Contract Value (TCV): **$14000**
Guaranteed Amount: $10500

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:48:28.4440000-04:00,2024-09-01 20:48:28,2024,submission,Pure Greatness,"Hufanga, Talanoa",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Hufanga, Talanoa** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
contract-activity,/Users/keithcreelman/Desktop/MFL_Scripts/Datastorage/Discord Chat/UPS Dynasty FFL - Automated League Updates - contract-activity [1059113303059730494].csv,UPS Contracts Hub Bot#8171,2024-09-01T20:49:51.2770000-04:00,2024-09-01 20:49:51,2024,submission,Pure Greatness,"Owusu-Koramoah, Jeremiah",3,3000,2000,1000,"{""2024"": 1000, ""2025"": 1000, ""2026"": 1000}","HEAR YE! HEAR YE! 

**Pure Greatness** has just made a contract submission!

A new contract for **Owusu-Koramoah, Jeremiah** for **3 years**.
Yearly Breakdown:
- Year 1: $1000
- Year 2: $1000
- Year 3: $1000
Total Contract Value (TCV): **$3000**
Guaranteed Years: 2 (1K Penalty for early cut)

What else can brown do for you? :upsbot:

DM me to discuss: @UPS Contracts Hub Bot"
