action,player,mfl_id,franchise,pos,current_status,current_contractInfo,proposed_status,proposed_contractInfo,proposed_AAV,confidence,check_codes,evidence,keith_ruling
DONE,"Cook, James",15715,C-Town Chivalry,RB,Vet-Ext1-BL,"CL 2|TCV 64K|AAV 27K, 37K|Y1-14K, Y2-50K|GTD: 48K|Restructured 2026",Vet-Ext1-BL,"CL 2|TCV 64K|AAV 27K, 37K|Y1-14K, Y2-50K|GTD: 48K|Restructured 2026","27K, 37K",HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Hurts, Jalen",14783,The Long Haulers,QB,Vet-Ext1-BL,"CL 2|TCV 119K|AAV 42K, 52K|Y1-47K, Y2-72K|GTD: 89.3K|Restructured 2026",Vet-Ext1-BL,"CL 2|TCV 119K|AAV 42K, 52K|Y1-47K, Y2-72K|GTD: 89.3K|Restructured 2026","42K, 52K",HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Jeudy, Jerry",14833,Cleon Ca$h,WR,Vet-FAA-FL,"CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1| GTD: 6.8K",Vet-FAA-FL,"CL 3| TCV 9K| AAV 3K| Y1-7, Y2-1, Y3-1| GTD: 6.8K",3K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"LaPorta, Sam",16214,C-Town Chivalry,TE,Vet-Ext2-BL,"CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K",Vet-Ext2-BL,"CL 2|TCV 50K|AAV 25K|Y1-10K, Y2-40K|Ext: CTwn|GTD: 37.5K",25K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"London, Drake",15751,Blake Bombers,WR,Vet-Ext1-BL,"CL 2| TCV 95K| AAV 33K, 43K| Y1-20K, Y2-75K| GTD: 71.3K| Restructured 2026",Vet-Ext1-BL,"CL 2| TCV 95K| AAV 33K, 43K| Y1-20K, Y2-75K| GTD: 71.3K| Restructured 2026","33K, 43K",HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Mason, Jordan",15972,The Long Haulers,RB,Vet-Ext2-FL,"CL 3| TCV 52K| AAV 24K| Y1-14, Y2-14, Y3-24| GTD: 39K| Ext: LH| restructure: 2025",Vet-Ext2-FL,"CL 3| TCV 52K| AAV 24K| Y1-14, Y2-14, Y3-24| GTD: 39K| Ext: LH| restructure: 2025",24K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"McLaurin, Terry",14109,Blake Bombers,WR,Vet-FAA-BL,"CL 2| TCV 38K| AAV 19K| Y1-8K, Y2-30K| GTD: 28.5K| Restructured 2026",Vet-FAA-BL,"CL 2| TCV 38K| AAV 19K| Y1-8K, Y2-30K| GTD: 28.5K| Restructured 2026",19K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Montgomery, David",14071,HammerTime 🔨 ⏰,RB,Vet-Ext1,"CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K",Vet-Ext1,"CL 2| TCV 42K| AAV 20K, 30K| Y1-12K, Y2-30K| Ext: Hammer| GTD: 31.5K","20K, 30K",HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Rice, Rashee",16194,Sex Manther,WR,Vet-Ext2-BL,"CL 2| TCV 50K| AAV 25K| Y1-10K, Y2-40K| GTD: 37.5K| Restructured 2026",Vet-Ext2-BL,"CL 2| TCV 50K| AAV 25K| Y1-10K, Y2-40K| GTD: 37.5K| Restructured 2026",25K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Smith, Roquan",13696,Cleon Ca$h,LB,Vet-FAA-FL,"CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1| GTD: 9K",Vet-FAA-FL,"CL 3| TCV 12K| AAV 4K| Y1-8, Y2-3, Y3-1| GTD: 9K",4K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Smith-Njigba, Jaxon",16185,C-Town Chivalry,WR,Vet-Ext2-FL,"CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| GTD: 52.5K| Ext: C-Town| restructure: 2025",Vet-Ext2-FL,"CL 3| TCV 70K| AAV 30K| Y1-14K, Y2-1K, Y3-55K| GTD: 52.5K| Ext: C-Town| restructure: 2025",30K,HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
DONE,"Walker III, Kenneth",15711,HammerTime 🔨 ⏰,RB,Vet-Ext1-BL,"CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal| restructure: 2026",Vet-Ext1-BL,"CL 2| TCV 74K| AAV 32K, 42K| Y1-15K, Y2-59K| GTD: 55.5K| Ext: PG, RealDeal| restructure: 2026","32K, 42K",HIGH,AAV_FIXED,verified live-fixed 2026-07-23 (Keith); negative control — validator passes clean,APPROVED
