# EP_MODEL,v5-regime,flag=v5,ship_gate=True
# ARMS,ep=max(floor, affine, dyn_anchor); v5 scales max(affine,dyn_anchor) by m_money*m_pos*m_elite (floor never scaled)
# REGIME,R_now=1.4057,R_bar=2.56783,lambda=0.47699,gamma=0.0,m_money=0.8,m_pos={'QB': 1.0, 'RB': 1.0, 'WR': 1.0, 'TE': 1.0}
# TUNABLES (NOT fitted),m_money_clamp=[0.8, 1.6],m_pos_clamp=[0.85, 1.35],POS_DYN_W={'QB': 1.0, 'WR': 0.9, 'TE': 0.9, 'RB': 0.55},dyn_anchor_$75K,startability_floor_table
# BACKTEST (LOYO 2022-25, credible clears),v4={'mae': 5.595, 'dw_mae': 9.984, 'bias': 0.214, 'n': 126},v5={'mae': 5.421, 'dw_mae': 9.453, 'bias': -0.071, 'n': 126}
# ARM_TRUTH (credible historical clears),{'floor': {'n': 47, 'binding_share': 0.373, 'paid_share': 0.2238, 'mae': 3.426, 'dw_mae': 4.869, 'bias': -0.489}, 'affine': {'n': 76, 'binding_share': 0.6032, 'paid_share': 0.7371, 'mae': 7.0, 'dw_mae': 11.824, 'bias': 0.605}, 'dyn_anchor': {'n': 3, 'binding_share': 0.0238, 'paid_share': 0.039, 'mae': 4.0, 'dw_mae': 4.556, 'bias': 1.333}}
# WARNING,The dynasty-anchor arm binds 73% of the CREDIBLE 2026 board but only 2.4% of credible historical clears (n=3). This is structural, not a sampling accident: franchises do not release high-dynasty players into the FA auction, so the arm that prices most of today's board is essentially UNVALIDATABLE from the archive. POS_DYN_W remains a Keith-tunable judgement call, and the advertised MSE-31/MAE-$3.5K describes the affine arm on ALL clears — a set dominated by $1-2K scrubs — not the number the tool serves on the players you actually bid on.
player,pos,status,owner,dyn_sf_rank,fp_rank,redraft_worth_k,dynasty_worth_k,worth_k,ep_arm_floor_k,ep_arm_affine_k,ep_arm_dyn_anchor_k,ep_arm,m_money,m_pos,m_elite,ep_v4_k,ep_v5_k,ep_k,gap_k,e_apwe_p50,e_apwe_p90,per_apwe,value_ratio,verdict,fit_0008,deal_type,top_competitors
Carnell Tate,WR,rostered,Hawks,WR16,WR30,22,30,26,8,21.15,27.0,dyn_anchor,0.8,1.0,1.0,27,22,22,-4,3.38,10.13,6.5,1.18,FAIR,SURPLUS,1-yr / situational,
Kyler Murray,QB,FA,,QB17,QB17,31,21,26,13,28.71,21.0,affine,0.8,1.0,1.0,29,23,15,-11,4.84,12.32,3.1,1.73,SPLURGE,NEED-STUD,1-yr / situational,Hawks; Gride; CBP
Jaylen Waddle,WR,FA,,WR20,WR24,27,25,26,16,25.35,22.5,affine,0.8,1.0,1.0,25,20,16,-10,4.08,10.68,3.9,1.62,SPLURGE,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
Javonte Williams,RB,rostered,HammerTime 🔨 ⏰,RB19,RB17,30,20,25,20,27.87,11.0,affine,0.8,1.0,1.0,28,22,22,-3,4.59,11.14,4.8,1.14,FAIR,DEPTH,1-yr / situational,
Tyler Warren,TE,rostered,The Long Haulers,TE5,TE4,16,31,24,20,16.11,27.9,dyn_anchor,0.8,1.0,1.0,28,22,22,-2,2.41,9.27,9.1,1.09,FAIR,DEPTH,multi-year build,
Rome Odunze,WR,rostered,Sex Manther,WR21,WR29,22,25,24,8,21.15,22.5,dyn_anchor,0.8,1.0,1.0,22,18,18,-6,3.38,10.13,5.3,1.33,VALUE,SURPLUS,1-yr / situational,
Tyler Shough,QB,rostered,CBP,QB22,QB20,24,23,24,13,22.83,23.0,dyn_anchor,0.8,1.0,1.0,23,18,18,-6,3.76,12.12,4.8,1.33,VALUE,NEED-STUD,1-yr / situational,
Terry McLaurin,WR,rostered,Blake Bombers,WR34,WR23,32,16,24,16,29.55,14.4,affine,0.8,1.0,1.0,30,24,24,0,4.94,10.68,4.9,1.0,FAIR,SURPLUS,1-yr rental / flip,
Baker Mayfield,QB,rostered,Pure Greatness,QB20,QB19,24,22,23,13,22.83,22.0,affine,0.8,1.0,1.0,23,18,18,-5,3.76,12.12,4.8,1.28,VALUE,NEED-STUD,1-yr / situational,
Jameson Williams,WR,FA,,WR28,WR25,25,21,23,8,23.67,18.9,affine,0.8,1.0,1.0,24,19,12,-11,3.84,10.68,3.1,1.92,SPLURGE,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
Mike Evans,WR,rostered,Hawks,WR43,WR22,32,14,23,16,29.55,12.6,affine,0.8,1.0,1.0,30,24,24,1,4.94,10.68,4.9,0.96,FAIR,SURPLUS,1-yr rental / flip,
TreVeyon Henderson,RB,rostered,Real Deal Creel,RB13,RB21,20,25,22,10,19.47,13.75,affine,0.8,1.0,1.0,19,16,16,-6,3.0,8.09,5.3,1.38,VALUE,DEPTH,multi-year build,
Cam Skattebo,RB,rostered,Gride,RB20,RB19,23,22,22,10,21.99,12.1,affine,0.8,1.0,1.0,22,18,18,-4,3.49,10.24,5.2,1.22,VALUE,DEPTH,1-yr / situational,
Marvin Harrison Jr.,WR,rostered,Real Deal Creel,WR17,WR33,18,25,22,8,17.79,22.5,dyn_anchor,0.8,1.0,1.0,22,18,18,-4,2.8,9.89,6.4,1.22,VALUE,SURPLUS,multi-year build,
Josh Jacobs,RB,FA,,RB23,RB18,25,18,22,20,23.67,9.9,affine,0.8,1.0,1.0,24,20,20,-2,3.83,10.92,5.2,1.1,FAIR,DEPTH,1-yr / situational,CBP; Gride; Hawks
Jordyn Tyson,WR,rostered,Gride,WR23,WR32,19,26,22,8,18.63,23.4,dyn_anchor,0.8,1.0,1.0,23,19,19,-3,2.92,9.89,6.5,1.16,FAIR,SURPLUS,1-yr / situational,
Cam Ward,QB,rostered,Blake Bombers,QB21,QB22,18,25,22,13,17.79,25.0,dyn_anchor,0.8,1.0,1.0,25,20,20,-2,2.84,11.99,7.0,1.1,FAIR,NEED-STUD,1-yr / situational,
Brian Thomas Jr.,WR,rostered,Pure Greatness,WR29,WR31,21,22,22,8,20.31,19.8,affine,0.8,1.0,1.0,20,16,16,-6,3.19,9.89,5.0,1.38,VALUE,SURPLUS,1-yr / situational,
Sam LaPorta,TE,rostered,C-Town Chivalry,TE4,TE6,15,25,20,20,15.27,22.5,dyn_anchor,0.8,1.0,1.0,22,20,20,0,2.25,8.9,8.9,1.0,FAIR,DEPTH,multi-year build,
Tucker Kraft,TE,rostered,Cleon Ca$h,TE6,TE5,16,25,20,20,16.11,22.5,dyn_anchor,0.8,1.0,1.0,22,20,20,0,2.41,9.27,8.3,1.0,FAIR,DEPTH,multi-year build,
Harold Fannin Jr.,TE,rostered,Sex Manther,TE7,TE7,13,27,20,14,13.59,24.3,dyn_anchor,0.8,1.0,1.0,24,19,19,-1,2.03,7.81,9.4,1.05,FAIR,DEPTH,multi-year build,
Makai Lemon,WR,rostered,Hawks,WR27,WR35,16,24,20,8,16.11,21.6,dyn_anchor,0.8,1.0,1.0,22,17,17,-3,2.4,7.66,7.1,1.18,FAIR,SURPLUS,1-yr / situational,
Christian Watson,WR,rostered,Real Deal Creel,WR32,WR28,22,18,20,8,21.15,16.2,affine,0.8,1.0,1.0,21,17,17,-3,3.38,10.38,5.0,1.18,FAIR,SURPLUS,1-yr / situational,
Malik Willis,QB,FA,,QB24,QB21,22,17,20,13,21.15,17.0,affine,0.8,1.0,1.0,21,17,13,-7,3.32,12.12,3.9,1.54,SPLURGE,NEED-STUD,1-yr / situational,Hawks; Gride; CBP
Quinshon Judkins,RB,rostered,Blake Bombers,RB16,RB24,13,25,19,10,13.59,13.75,dyn_anchor,0.8,1.0,1.0,14,11,11,-8,1.94,6.93,5.7,1.73,SPLURGE,DEPTH,multi-year build,
DJ Moore,WR,rostered,Gride,WR33,WR27,22,16,19,8,21.15,14.4,affine,0.8,1.0,1.0,21,17,17,-2,3.38,10.68,5.0,1.12,FAIR,SURPLUS,1-yr / situational,
Bucky Irving,RB,rostered,Pure Greatness,RB18,RB23,14,22,18,10,14.43,12.1,affine,0.8,1.0,1.0,14,12,12,-6,2.17,7.32,5.5,1.5,SPLURGE,DEPTH,multi-year build,
C.J. Stroud,QB,rostered,HammerTime 🔨 ⏰,QB16,QB24,11,25,18,13,11.91,25.0,dyn_anchor,0.8,1.0,1.0,25,20,20,2,1.65,10.02,12.1,0.9,FAIR,NEED-STUD,multi-year build,
D'Andre Swift,RB,FA,,RB25,RB22,19,16,18,10,18.63,8.8,affine,0.8,1.0,1.0,19,15,10,-8,2.87,7.42,3.5,1.8,SPLURGE,DEPTH,1-yr / situational,CBP; Gride; Hawks
David Montgomery,RB,rostered,HammerTime 🔨 ⏰,RB27,RB20,21,14,18,10,20.31,7.7,affine,0.8,1.0,1.0,20,16,16,-2,3.23,8.09,5.0,1.12,FAIR,DEPTH,1-yr / situational,
Sam Darnold,QB,rostered,L.A. Looks,QB23,QB23,17,20,18,13,16.95,20.0,dyn_anchor,0.8,1.0,1.0,20,16,16,-2,2.62,10.37,6.1,1.12,FAIR,NEED-STUD,1-yr / situational,
Davante Adams,WR,rostered,Pure Greatness,WR41,WR26,22,14,18,8,21.15,12.6,affine,0.8,1.0,1.0,21,17,17,-1,3.38,10.68,5.0,1.06,FAIR,SURPLUS,1-yr rental / flip,
Kyle Pitts Sr.,TE,FA,,TE8,TE8,10,24,17,14,11.07,21.6,dyn_anchor,0.8,1.0,1.0,22,17,14,-3,1.47,7.67,9.5,1.21,VALUE,DEPTH,multi-year build,CBP; Gride; L.A. Looks
Fernando Mendoza,QB,rostered,The Long Haulers,QB18,QB27,6,27,16,12,7.71,27.0,dyn_anchor,0.8,1.0,1.0,27,22,22,6,0.95,10.02,23.2,0.73,FAIR,NEED-STUD,1-yr / situational,
Alec Pierce,WR,rostered,L.A. Looks,WR31,WR37,15,17,16,8,15.27,15.3,dyn_anchor,0.8,1.0,1.0,15,12,12,-4,2.28,7.26,5.3,1.33,VALUE,SURPLUS,1-yr / situational,
Parker Washington,WR,FA,,WR47,WR34,16,15,16,8,16.11,13.5,affine,0.8,1.0,1.0,16,13,8,-8,2.4,9.68,3.3,2.0,SPLURGE,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
DK Metcalf,WR,FA,,WR36,WR36,16,14,15,8,16.11,12.6,affine,0.8,1.0,1.0,16,13,8,-7,2.4,7.66,3.3,1.88,SPLURGE,SURPLUS,1-yr / situational,L.A. Looks; Hawks; Sex Manther
Jadarian Price,RB,rostered,Gride,RB21,RB26,8,21,14,10,9.39,11.55,dyn_anchor,0.8,1.0,1.0,12,10,10,-4,1.29,6.88,7.8,1.4,VALUE,DEPTH,1-yr / situational,
Bhayshul Tuten,RB,rostered,Blake Bombers,RB24,RB25,11,17,14,10,11.91,9.35,affine,0.8,1.0,1.0,12,10,10,-4,1.71,6.88,5.8,1.4,VALUE,DEPTH,1-yr / situational,
Bryce Young,QB,rostered,Gride,QB26,QB26,10,17,14,12,11.07,17.0,dyn_anchor,0.8,1.0,1.0,17,14,14,0,1.55,10.02,9.0,1.0,FAIR,NEED-STUD,1-yr / situational,
Quentin Johnston,WR,rostered,The Long Haulers,WR55,WR38,14,14,14,8,14.43,12.6,affine,0.8,1.0,1.0,14,12,12,-2,2.17,7.24,5.5,1.17,FAIR,SURPLUS,cut-free dart,
Courtland Sutton,WR,rostered,L.A. Looks,WR44,WR39,14,12,13,8,14.43,10.8,affine,0.8,1.0,1.0,14,12,12,-1,2.17,7.24,5.5,1.08,FAIR,SURPLUS,1-yr rental / flip,
Daniel Jones,QB,FA,,QB27,QB25,10,16,13,12,11.07,16.0,dyn_anchor,0.8,1.0,1.0,16,13,12,-1,1.55,10.02,7.7,1.08,FAIR,NEED-STUD,1-yr / situational,Hawks; Gride; CBP
George Kittle,TE,rostered,Blake Bombers,TE14,TE9,8,16,12,14,9.39,14.4,dyn_anchor,0.8,1.0,1.0,14,14,14,2,1.29,6.6,10.9,0.86,FAIR,DEPTH,1-yr rental / flip,
Jayden Reed,WR,rostered,Blake Bombers,WR53,WR40,12,12,12,8,12.75,10.8,affine,0.8,1.0,1.0,13,10,10,-2,1.79,7.22,5.6,1.2,VALUE,SURPLUS,cut-free dart,
Kenyon Sadiq,TE,rostered,CBP,TE10,TE21,3,19,11,2,5.19,17.1,dyn_anchor,0.8,1.0,1.0,17,14,14,3,0.53,3.13,26.4,0.79,FAIR,DEPTH,1-yr / situational,
KC Concepcion,WR,rostered,Real Deal Creel,WR30,WR52,2,19,10,5,4.35,17.1,dyn_anchor,0.8,1.0,1.0,17,14,14,4,0.25,4.18,56.0,0.71,FAIR,SURPLUS,1-yr / situational,
Jordan Addison,WR,rostered,HammerTime 🔨 ⏰,WR35,WR41,4,16,10,5,6.03,14.4,dyn_anchor,0.8,1.0,1.0,14,12,12,2,0.63,7.22,19.0,0.83,FAIR,SURPLUS,1-yr / situational,
Dalton Kincaid,TE,rostered,Hawks,TE9,TE13,5,16,10,5,6.87,14.4,dyn_anchor,0.8,1.0,1.0,14,12,12,2,0.75,4.5,16.0,0.83,FAIR,DEPTH,1-yr / situational,
Oronde Gadsden II,TE,rostered,Sex Manther,TE11,TE16,4,16,10,5,6.03,14.4,dyn_anchor,0.8,1.0,1.0,14,12,12,2,0.6,4.24,20.0,0.83,FAIR,DEPTH,multi-year build,
