year,pid,player,pos,posgroup,win_k,win_dollars,sf_ecr,overall_rank,rank_used,rank_src,par,dollars_per_par,skill_tier,idp_par_rank,idp_tier,tier,total_bids,forced,overtakes,duration_hrs,nominator,winner,self_nom
2019,13412,"Cole, Keelan",WR,SKILL,3.0,3000.0,,402.0,402.0,redraft_ovr,,,T7_150+,,,T7_150+,3,0,2,32.34,Pure Greatness,Pure Greatness,True
2019,12154,"Ajayi, Jay",RB,SKILL,4.0,4000.0,,387.0,387.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,34.04,Real Deal Creel,CBP,False
2019,11308,"Alonso, Kiko",LB,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,43.93,Real Deal Creel,L.A. Looks,False
2019,14096,"Ozigbo, Devine",RB,SKILL,4.0,4000.0,,207.0,207.0,redraft_ovr,,,T7_150+,,,T7_150+,4,2,1,33.17,L.A. Looks,C-Town Chivalry,False
2019,14098,"Crockett, Damarea",RB,SKILL,4.0,4000.0,,285.0,285.0,redraft_ovr,,,T7_150+,,,T7_150+,3,2,0,24.18,Sex Manther,Sex Manther,True
2019,12443,"Kumerow, Jake",WR,SKILL,3.0,3000.0,,393.0,393.0,redraft_ovr,,,T7_150+,,,T7_150+,2,0,1,30.43,Sex Manther,The Long Haulers,False
2019,13221,"Davis, Jarrad",LB,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,26.81,Real Deal Creel,Gride,False
2019,14162,Christian Wilkins,DT,IDP,2.0,2000.0,,123.0,123.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,2,0,1,34.23,Cleon Ca$h,Gride,False
2019,11250,"Eifert, Tyler",TE,SKILL,4.0,4000.0,,297.0,297.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,39.33,C-Town Chivalry,Hawks,False
2019,13850,Gus Edwards,RB,SKILL,3.0,3000.0,,343.0,343.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,29.03,Gride,Pure Greatness,False
2019,12205,"Funchess, Devin",WR,SKILL,6.0,6000.0,,273.0,273.0,redraft_ovr,,,T7_150+,,,T7_150+,2,0,1,30.61,The Long Haulers,C-Town Chivalry,False
2019,13304,"Brown, Jayon",LB,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,1,0,24.04,Gride,Gride,True
2019,13136,"Clement, Corey",RB,SKILL,2.0,2000.0,,415.0,415.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.0,L.A. Looks,L.A. Looks,True
2019,7877,"Gore, Frank",RB,SKILL,3.0,3000.0,,360.0,360.0,redraft_ovr,,,T7_150+,,,T7_150+,3,2,0,24.04,L.A. Looks,L.A. Looks,True
2019,8687,"Olsen, Greg",TE,SKILL,3.0,3000.0,,224.0,224.0,redraft_ovr,,,T7_150+,,,T7_150+,3,2,0,24.31,Sex Manther,Sex Manther,True
2019,9833,Jason Pierre-Paul,DE,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,3,0,24.0,The Long Haulers,The Long Haulers,True
2019,8673,"Ginn Jr., Ted",WR,SKILL,3.0,3000.0,,303.0,303.0,redraft_ovr,,,T7_150+,,,T7_150+,3,0,2,38.23,CBP,Pure Greatness,False
2019,12912,"Richard, Jalen",RB,SKILL,5.0,5000.0,,329.0,329.0,redraft_ovr,,,T7_150+,,,T7_150+,5,1,3,35.87,CBP,The Long Haulers,False
2019,13684,Sam Hubbard,DE,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,1,2,38.4,Cleon Ca$h,Cleon Ca$h,True
2019,13026,"Onwuasor, Patrick",LB,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,25.67,Cleon Ca$h,Blake Bombers,False
2019,13231,Jabrill Peppers,S,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,1,0,24.02,C-Town Chivalry,C-Town Chivalry,True
2019,11516,"Doyle, Jack",TE,SKILL,6.0,6000.0,,283.0,283.0,redraft_ovr,,,T7_150+,,,T7_150+,4,1,2,27.82,Blake Bombers,Blake Bombers,True
2019,12274,"Tartt, Jaquiski",S,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,1,2,27.84,Blake Bombers,Blake Bombers,True
2019,12762,Nick Vigil,LB,IDP,2.0,2000.0,,244.0,244.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,2,0,1,26.22,Pure Greatness,Blake Bombers,False
2019,10266,Cameron Heyward,DT,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,30.77,Real Deal Creel,C-Town Chivalry,False
2019,10823,"Hicks, Akiem",DE,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,0,2,66.25,Real Deal Creel,Gride,False
2019,13201,Derek Barnett,DE,IDP,5.0,5000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,2,1,45.44,Gride,Sex Manther,False
2019,10783,Harrison Smith,S,IDP,2.0,2000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,0,1,24.33,Hawks,Real Deal Creel,False
2019,14267,Juwann Winfree,WR,SKILL,5.0,5000.0,,,,,,,unranked,,,unranked,4,2,1,48.04,L.A. Looks,Sex Manther,False
2019,11711,"Ford, Dee",DE,IDP,2.0,2000.0,,240.0,240.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,2,1,0,24.04,L.A. Looks,L.A. Looks,True
2019,10973,"Beasley, Cole",WR,SKILL,3.0,3000.0,,359.0,359.0,redraft_ovr,,,T7_150+,,,T7_150+,3,2,0,24.02,Sex Manther,Sex Manther,True
2019,13715,Ronnie Harrison,S,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,2,0,24.04,Sex Manther,Sex Manther,True
2019,14159,Dexter Lawrence,DT,IDP,4.0,4000.0,,195.0,195.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,4,1,2,42.65,HammerTime 🔨 ⏰,CBP,False
2019,11761,Jerick McKinnon,RB,SKILL,10.0,10000.0,,272.0,272.0,redraft_ovr,,,T7_150+,,,T7_150+,5,2,2,32.46,Hawks,Hawks,True
2019,10699,"Foles, Nick",QB,SKILL,2.0,2000.0,,237.0,237.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.02,Gride,Gride,True
2019,7422,"Watson, Ben",TE,SKILL,2.0,2000.0,,379.0,379.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.0,CBP,CBP,True
2019,11850,"Enunwa, Quincy",WR,SKILL,7.0,7000.0,,356.0,356.0,redraft_ovr,,,T7_150+,,,T7_150+,4,0,3,38.72,CBP,Hawks,False
2019,13216,Zach Cunningham,LB,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,2,1,0,24.02,Cleon Ca$h,Cleon Ca$h,True
2019,9427,"Crabtree, Michael",WR,SKILL,4.0,4000.0,,372.0,372.0,redraft_ovr,,,T7_150+,,,T7_150+,4,2,1,39.44,HammerTime 🔨 ⏰,L.A. Looks,False
2019,12233,Kwon Alexander,LB,IDP,5.0,5000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,2,1,39.85,The Long Haulers,Hawks,False
2019,12656,"Higgins, Rashard",WR,SKILL,5.0,5000.0,,364.0,364.0,redraft_ovr,,,T7_150+,,,T7_150+,4,3,0,24.02,The Long Haulers,The Long Haulers,True
2019,9829,"Thomas, Earl",S,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,1,1,39.89,C-Town Chivalry,Hawks,False
2019,12222,"Flowers, Trey",DE,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,1,1,32.08,C-Town Chivalry,Hawks,False
2019,12088,"Phillips, Adrian",S,IDP,6.0,6000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,0,3,37.64,Blake Bombers,The Long Haulers,False
2019,13148,Dare Ogunbowale,RB,SKILL,3.0,3000.0,,290.0,290.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.02,Blake Bombers,Blake Bombers,True
2019,11772,"Kirksey, Christian",LB,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,1,1,24.87,Real Deal Creel,C-Town Chivalry,False
2019,13229,Eddie Jackson,S,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,0,2,48.29,Pure Greatness,Pure Greatness,True
2019,10267,Von Miller,DE,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,2,1,47.94,L.A. Looks,Hawks,False
2019,9902,"Gronkowski, Rob",TE,SKILL,4.0,4000.0,,373.0,373.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.18,L.A. Looks,L.A. Looks,True
2019,12596,"LaCosse, Matt",TE,SKILL,2.0,2000.0,,358.0,358.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.2,Sex Manther,Sex Manther,True
2019,11330,"Williams, Shawn",S,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,2,0,24.08,The Long Haulers,The Long Haulers,True
2019,12261,"Montgomery, Ty",RB,SKILL,2.0,2000.0,,333.0,333.0,redraft_ovr,,,T7_150+,,,T7_150+,2,1,0,24.0,Sex Manther,Sex Manther,True
2019,10312,"Rudolph, Kyle",TE,SKILL,8.0,8000.0,,197.0,197.0,redraft_ovr,,,T7_150+,,,T7_150+,5,1,3,55.97,Gride,Gride,True
2019,10389,"Lewis, Dion",RB,SKILL,7.0,7000.0,,235.0,235.0,redraft_ovr,,,T7_150+,,,T7_150+,6,2,3,37.56,CBP,Real Deal Creel,False
2019,12280,"Clark, Frank",DE,IDP,6.0,6000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,6,5,0,24.02,CBP,CBP,True
2019,9075,"Jackson, DeSean",WR,SKILL,7.0,7000.0,,226.0,226.0,redraft_ovr,,,T7_150+,,,T7_150+,6,5,0,24.0,The Long Haulers,The Long Haulers,True
2019,8448,"Bethea, Antoine",S,IDP,3.0,3000.0,,255.0,255.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,3,0,2,31.25,HammerTime 🔨 ⏰,L.A. Looks,False
2019,12773,Chris Moore,WR,SKILL,3.0,3000.0,,263.0,263.0,redraft_ovr,,,T7_150+,,,T7_150+,3,0,2,36.55,HammerTime 🔨 ⏰,HammerTime 🔨 ⏰,True
2019,11644,Derek Carr,QB,SKILL,2.0,2000.0,,241.0,241.0,redraft_ovr,,,T7_150+,,,T7_150+,2,0,1,29.13,Blake Bombers,CBP,False
2019,10749,"Ingram, Melvin",DE,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,1,1,24.8,Real Deal Creel,Pure Greatness,False
2019,12176,"Parker, DeVante",WR,SKILL,4.0,4000.0,,267.0,267.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,29.65,Real Deal Creel,CBP,False
2019,9925,"Graham, Jimmy",TE,SKILL,5.0,5000.0,,252.0,252.0,redraft_ovr,,,T7_150+,,,T7_150+,3,0,2,31.29,Pure Greatness,Pure Greatness,True
2019,10847,"Whitehead, Tahir",LB,IDP,4.0,4000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,0,3,68.12,Pure Greatness,Hawks,False
2019,13844,Logan Cooke,PN,KP,2.0,2000.0,,,,,,,,,,kp,2,0,1,42.42,Hawks,HammerTime 🔨 ⏰,False
2019,12741,Chris Jones,DT,IDP,14.0,14000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,11,4,6,94.73,Gride,The Long Haulers,False
2019,11313,Tyrann Mathieu,S,IDP,3.0,3000.0,,231.0,231.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,3,1,1,35.62,Sex Manther,Cleon Ca$h,False
2019,10700,Kirk Cousins,QB,SKILL,6.0,6000.0,,191.0,191.0,redraft_ovr,,,T7_150+,,,T7_150+,5,0,4,37.03,Hawks,CBP,False
2019,6997,"Witten, Jason",TE,SKILL,3.0,3000.0,,256.0,256.0,redraft_ovr,,,T7_150+,,,T7_150+,3,0,2,43.9,Hawks,Hawks,True
2019,7393,"Fitzgerald, Larry",WR,SKILL,12.0,12000.0,,141.0,141.0,redraft_ovr,,,T6_101-150,,,T6_101-150,7,2,4,61.76,Pure Greatness,L.A. Looks,False
2019,10723,"Sanu, Mohamed",WR,SKILL,6.0,6000.0,,274.0,274.0,redraft_ovr,,,T7_150+,,,T7_150+,5,1,3,58.58,HammerTime 🔨 ⏰,The Long Haulers,False
2019,11740,"Clinton-Dix, Ha Ha",S,IDP,5.0,5000.0,,234.0,234.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,3,0,2,46.11,HammerTime 🔨 ⏰,HammerTime 🔨 ⏰,True
2019,14124,"Johnson, KeeSean",WR,SKILL,5.0,5000.0,,220.0,220.0,redraft_ovr,,,T7_150+,,,T7_150+,4,1,2,26.98,C-Town Chivalry,HammerTime 🔨 ⏰,False
2019,13251,Budda Baker,S,IDP,11.0,11000.0,,212.0,212.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,9,2,6,70.78,C-Town Chivalry,Cleon Ca$h,False
2019,10292,Cameron Jordan,DT,IDP,6.0,6000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,5,2,2,47.35,CBP,Cleon Ca$h,False
2019,11657,"Hyde, Carlos",RB,SKILL,2.0,2000.0,,264.0,264.0,redraft_ovr,,,T7_150+,,,T7_150+,2,0,1,25.37,Blake Bombers,Pure Greatness,False
2019,14256,Jake Bailey,PN,KP,3.0,3000.0,,,,,,,,,,kp,3,0,2,51.99,Real Deal Creel,The Long Haulers,False
2019,13871,"Hilliard, Dontrell",RB,SKILL,4.0,4000.0,,309.0,309.0,redraft_ovr,,,T7_150+,,,T7_150+,3,1,1,44.69,Blake Bombers,L.A. Looks,False
2019,11795,"Hitchens, Anthony",LB,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,0,2,35.91,Pure Greatness,Pure Greatness,True
2019,12287,Jordan Hicks,LB,IDP,3.0,3000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,3,0,2,28.93,Pure Greatness,Blake Bombers,False
2019,10308,"Cobb, Randall",WR,SKILL,4.0,4000.0,,363.0,363.0,redraft_ovr,,,T7_150+,,,T7_150+,4,1,2,50.77,Cleon Ca$h,Hawks,False
2019,12956,Wil Lutz,PK,KP,2.0,2000.0,,248.0,248.0,redraft_ovr,,,,,,kp,2,1,0,24.05,CBP,CBP,True
2019,8359,"Gostkowski, Stephen",PK,KP,3.0,3000.0,,262.0,262.0,redraft_ovr,,,,,,kp,3,2,0,24.07,Cleon Ca$h,Cleon Ca$h,True
2019,14127,Jakobi Meyers,WR,SKILL,7.0,7000.0,,239.0,239.0,redraft_ovr,,,T7_150+,,,T7_150+,6,2,3,29.83,Real Deal Creel,The Long Haulers,False
2019,13354,Harrison Butker,PK,KP,2.0,2000.0,,232.0,232.0,redraft_ovr,,,,,,kp,2,1,0,24.01,Gride,Gride,True
2019,11769,Demarcus Lawrence,DE,IDP,6.0,6000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,3,0,24.01,The Long Haulers,The Long Haulers,True
2019,10768,Lavonte David,LB,IDP,7.0,7000.0,,186.0,186.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,5,2,2,35.27,Gride,Sex Manther,False
2019,12263,Darren Waller,TE,SKILL,6.0,6000.0,,238.0,238.0,redraft_ovr,,,T7_150+,,,T7_150+,5,4,0,24.1,The Long Haulers,The Long Haulers,True
2019,9099,"Ryan, Matt",QB,SKILL,10.0,10000.0,,63.0,63.0,redraft_ovr,,,T4_51-75,,,T4_51-75,4,2,1,24.14,Hawks,CBP,False
2019,10868,Greg Zuerlein,PK,KP,4.0,4000.0,,192.0,192.0,redraft_ovr,,,,,,kp,4,2,1,24.05,Sex Manther,The Long Haulers,False
2019,9884,"Thomas, Demaryius",WR,SKILL,6.0,6000.0,,362.0,362.0,redraft_ovr,,,T7_150+,,,T7_150+,4,0,3,72.43,Sex Manther,Cleon Ca$h,False
2019,11728,C.J. Mosley,LB,IDP,7.0,7000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,5,1,3,47.59,Cleon Ca$h,Cleon Ca$h,True
2019,13274,John Johnson,S,IDP,5.0,5000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,4,1,2,39.2,Gride,Gride,True
2019,8416,"Walker, Delanie",TE,SKILL,9.0,9000.0,,187.0,187.0,redraft_ovr,,,T7_150+,,,T7_150+,4,2,1,24.75,Gride,CBP,False
2019,9918,"Sanders, Emmanuel",WR,SKILL,18.0,18000.0,,144.0,144.0,redraft_ovr,,,T6_101-150,,,T6_101-150,11,5,5,48.43,The Long Haulers,Pure Greatness,False
2019,10976,Justin Tucker,PK,KP,2.0,2000.0,,214.0,214.0,redraft_ovr,,,,,,kp,2,1,0,24.0,C-Town Chivalry,C-Town Chivalry,True
2019,12985,"Littleton, Cory",LB,IDP,7.0,7000.0,,170.0,170.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,5,4,0,24.01,C-Town Chivalry,C-Town Chivalry,True
2019,12620,Dak Prescott,QB,SKILL,9.0,9000.0,,167.0,167.0,redraft_ovr,,,T7_150+,,,T7_150+,7,2,4,72.21,Blake Bombers,Sex Manther,False
2019,11695,"Ebron, Eric",TE,SKILL,8.0,8000.0,,116.0,116.0,redraft_ovr,,,T6_101-150,,,T6_101-150,5,2,2,40.51,Blake Bombers,Gride,False
2019,11677,"Moncrief, Donte",WR,SKILL,11.0,11000.0,,203.0,203.0,redraft_ovr,,,T7_150+,,,T7_150+,4,1,2,42.14,CBP,The Long Haulers,False
2019,9448,"McCoy, LeSean",RB,SKILL,11.0,11000.0,,165.0,165.0,redraft_ovr,,,T7_150+,,,T7_150+,7,3,3,40.88,Real Deal Creel,HammerTime 🔨 ⏰,False
2019,11390,Latavius Murray,RB,SKILL,19.0,19000.0,,147.0,147.0,redraft_ovr,,,T6_101-150,,,T6_101-150,8,6,1,24.97,Real Deal Creel,CBP,False
2019,12702,"Jack, Myles",LB,IDP,5.0,5000.0,,172.0,172.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,4,2,1,26.98,Pure Greatness,Blake Bombers,False
2019,11706,Jadeveon Clowney,DE,IDP,7.0,7000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,5,2,2,27.55,Pure Greatness,Pure Greatness,True
2019,11670,"Watkins, Sammy",WR,SKILL,15.0,15000.0,,112.0,112.0,redraft_ovr,,,T6_101-150,,,T6_101-150,6,2,3,33.26,L.A. Looks,C-Town Chivalry,False
2019,12658,Sterling Shepard,WR,SKILL,25.0,25000.0,,99.0,99.0,redraft_ovr,,,T5_76-100,,,T5_76-100,8,4,3,46.49,The Long Haulers,Gride,False
2019,8658,"Peterson, Adrian",RB,SKILL,8.0,8000.0,,215.0,215.0,redraft_ovr,,,T7_150+,,,T7_150+,7,2,4,92.41,Hawks,Gride,False
2019,11257,"McDonald, Vance",TE,SKILL,16.0,16000.0,,124.0,124.0,redraft_ovr,,,T6_101-150,,,T6_101-150,8,2,5,69.42,Sex Manther,The Long Haulers,False
2019,13404,Austin Ekeler,RB,SKILL,21.0,21000.0,,92.0,92.0,redraft_ovr,,,T5_76-100,,,T5_76-100,6,5,0,24.05,Sex Manther,Sex Manther,True
2019,11985,Tress Way,PN,KP,2.0,2000.0,,,,,,,,,,kp,2,1,0,24.14,Gride,Gride,True
2019,12665,"Allison, Geronimo",WR,SKILL,9.0,9000.0,,178.0,178.0,redraft_ovr,,,T7_150+,,,T7_150+,5,4,0,24.02,Gride,Gride,True
2019,11680,Jarvis Landry,WR,SKILL,33.0,33000.0,,65.0,65.0,redraft_ovr,,,T4_51-75,,,T4_51-75,14,7,6,92.9,The Long Haulers,Cleon Ca$h,False
2019,10722,"Jeffery, Alshon",WR,SKILL,26.0,26000.0,,71.0,71.0,redraft_ovr,,,T4_51-75,,,T4_51-75,7,2,4,68.78,The Long Haulers,Cleon Ca$h,False
2019,10708,"Miller, Lamar",RB,SKILL,11.0,11000.0,,120.0,120.0,redraft_ovr,,,T6_101-150,,,T6_101-150,8,7,0,24.11,L.A. Looks,L.A. Looks,True
2019,10276,"Ingram, Mark",RB,SKILL,50.0,50000.0,,48.0,48.0,redraft_ovr,,,T3_26-50,,,T3_26-50,22,12,9,117.7,L.A. Looks,Cleon Ca$h,False
2019,10775,Bobby Wagner,LB,IDP,14.0,14000.0,,107.0,107.0,redraft_ovr,,,,,idp_unranked_par,idp_unranked_par,8,3,4,39.52,Blake Bombers,The Long Haulers,False
2019,12860,Ka'imi Fairbairn,PK,KP,3.0,3000.0,,279.0,279.0,redraft_ovr,,,,,,kp,3,2,0,24.23,HammerTime 🔨 ⏰,HammerTime 🔨 ⏰,True
2019,12187,Tyler Lockett,WR,SKILL,46.0,46000.0,,46.0,46.0,redraft_ovr,,,T3_26-50,,,T3_26-50,15,6,8,46.09,HammerTime 🔨 ⏰,CBP,False
2019,10816,Demario Davis,LB,IDP,5.0,5000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,5,1,3,71.45,Pure Greatness,Pure Greatness,True
2019,11757,"Donald, Aaron",DT,IDP,20.0,20000.0,,,,,,,,,idp_unranked_par,idp_unranked_par,12,8,3,35.92,C-Town Chivalry,Sex Manther,False
2019,10960,"Gordon, Josh",WR,SKILL,16.0,16000.0,,150.0,150.0,redraft_ovr,,,T6_101-150,,,T6_101-150,6,4,1,27.61,C-Town Chivalry,Cleon Ca$h,False
2019,7836,Aaron Rodgers,QB,SKILL,18.0,18000.0,,42.0,42.0,redraft_ovr,,,T3_26-50,,,T3_26-50,7,4,2,26.24,Real Deal Creel,Pure Greatness,False
2019,10703,Russell Wilson,QB,SKILL,15.0,15000.0,,77.0,77.0,redraft_ovr,,,T5_76-100,,,T5_76-100,7,2,4,41.62,Real Deal Creel,C-Town Chivalry,False
2019,11886,"Williams, Damien",RB,SKILL,50.0,50000.0,,25.0,25.0,redraft_ovr,,,T2_13-25,,,T2_13-25,9,7,1,28.67,CBP,Real Deal Creel,False
2019,14059,Daniel Jones,QB,SKILL,3.0,3000.0,,119.0,119.0,redraft_ovr,,,T6_101-150,,,T6_101-150,3,0,2,44.54,Cleon Ca$h,HammerTime 🔨 ⏰,False
2019,9988,"Brown, Antonio",WR,SKILL,79.0,79000.0,,,,,,,unranked,,,unranked,10,9,0,24.0,CBP,CBP,True
2019,5848,Tom Brady,QB,SKILL,20.0,20000.0,,168.0,168.0,redraft_ovr,,,T7_150+,,,T7_150+,16,10,5,69.53,Cleon Ca$h,Hawks,False
2020,12164,"Davis, Mike",RB,SKILL,2.0,2000.0,,,,,63.0,31.7,unranked,,,unranked,2,0,1,26.27,Sex Manther,Real Deal Creel,False
2020,12741,Chris Jones,DT,IDP,3.0,3000.0,,,,,54.0,55.6,,24,IDP3_13-24,IDP3_13-24,3,0,2,49.08,Sex Manther,Gride,False
2020,12386,"Brown, Malcolm",RB,SKILL,6.0,6000.0,,320.0,320.0,redraft_ovr,5.0,1200.0,T7_150+,,,T7_150+,6,2,3,54.78,Gride,Hawks,False
2020,13850,Gus Edwards,RB,SKILL,2.0,2000.0,,378.0,378.0,redraft_ovr,0.2,10000.0,T7_150+,,,T7_150+,2,1,0,24.3,Blake Bombers,Blake Bombers,True
2020,13216,Zach Cunningham,LB,IDP,5.0,5000.0,,,,,114.0,43.9,,6,IDP1_1-6,IDP1_1-6,4,0,3,27.24,L.A. Looks,Pure Greatness,False
2020,13809,Russell Gage,WR,SKILL,2.0,2000.0,,349.0,349.0,redraft_ovr,0.0,,T7_150+,,,T7_150+,2,0,1,27.62,C-Town Chivalry,Real Deal Creel,False
2020,9051,Calais Campbell,DT,IDP,5.0,5000.0,,,,,37.0,135.1,,27,IDP4_25+,IDP4_25+,4,0,3,33.09,Cleon Ca$h,Pure Greatness,False
2020,14096,"Ozigbo, Devine",RB,SKILL,2.0,2000.0,,336.0,336.0,redraft_ovr,0.0,,T7_150+,,,T7_150+,2,1,0,24.01,L.A. Looks,L.A. Looks,True
2020,12505,"Humphries, Adam",WR,SKILL,2.0,2000.0,,407.0,407.0,redraft_ovr,15.1,132.5,T7_150+,,,T7_150+,2,0,1,48.12,Hawks,Gride,False
2020,11644,Derek Carr,QB,SKILL,4.0,4000.0,,210.0,210.0,redraft_ovr,-7.1,,T7_150+,,,T7_150+,4,1,2,26.69,HammerTime 🔨 ⏰,Hawks,False
2020,10308,"Cobb, Randall",WR,SKILL,4.0,4000.0,,328.0,328.0,redraft_ovr,-8.6,,T7_150+,,,T7_150+,3,2,0,24.09,Sex Manther,Sex Manther,True
2020,11772,"Kirksey, Christian",LB,IDP,4.0,4000.0,,,,,45.5,87.9,,26,IDP4_25+,IDP4_25+,4,2,1,43.56,Sex Manther,Pure Greatness,False
2020,10749,"Ingram, Melvin",DE,IDP,3.0,3000.0,,,,,8.5,352.9,,33,IDP4_25+,IDP4_25+,3,0,2,48.14,The Long Haulers,C-Town Chivalry,False
2020,13684,Sam Hubbard,DE,IDP,3.0,3000.0,,,,,30.5,98.4,,29,IDP4_25+,IDP4_25+,3,2,0,24.21,L.A. Looks,L.A. Looks,True
2020,12217,Dante Fowler,DE,IDP,2.0,2000.0,,,,,0.0,,,34,IDP4_25+,IDP4_25+,2,0,1,41.76,Real Deal Creel,L.A. Looks,False
2020,11186,"Thompson, Chris",RB,SKILL,5.0,5000.0,,243.0,243.0,redraft_ovr,-0.3,,T7_150+,,,T7_150+,3,0,2,39.79,C-Town Chivalry,Hawks,False
