pid,name,pos,entry_season,entry_type,entry_overall,entry_bid,market_rank,rank_src,tier,end_season,length_seasons,censored,n_extensions,ext_terms,ext_seasons
6475,6475,,2010,WAIVER,,1,,,,2011,2,0,0,,
8913,8913,,2010,WAIVER,,3,,,,2010,1,0,0,,
0519,0519,,2010,WAIVER,,4,,,,2010,1,0,0,,
9524,9524,,2010,WAIVER,,2,,,,2010,1,0,0,,
10082,10082,,2010,WAIVER,,1,,,,2010,1,0,0,,
4924,4924,,2010,WAIVER,,3,,,,2010,1,0,0,,
10360,10360,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7817,7817,,2011,WAIVER,,3000,,,,2011,1,0,0,,
7837,7837,,2011,WAIVER,,1000,,,,2012,2,0,0,,
6519,6519,,2011,WAIVER,,1000,,,,2011,1,0,0,,
4770,4770,,2011,WAIVER,,1000,,,,2011,1,0,0,,
3910,3910,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9307,9307,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7854,7854,,2011,WAIVER,,1000,,,,2012,2,0,0,,
9892,9892,,2011,WAIVER,,4000,,,,2011,1,0,0,,
10305,10305,,2011,WAIVER,,3000,,,,2011,1,0,0,,
3141,3141,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10524,10524,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9529,9529,,2011,WAIVER,,4000,,,,2011,1,0,0,,
9770,9770,,2011,WAIVER,,2000,,,,2011,1,0,0,,
9847,9847,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10309,10309,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8273,8273,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7740,7740,,2011,WAIVER,,4000,,,,2011,1,0,0,,
1275,1275,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9824,9824,,2011,WAIVER,,1000,,,,2012,2,0,0,,
8244,8244,,2011,WAIVER,,4000,,,,2011,1,0,0,,
5025,5025,,2011,WAIVER,,4000,,,,2011,1,0,0,,
7286,7286,,2011,WAIVER,,2000,,,,2011,1,0,0,,
9017,9017,,2011,WAIVER,,3000,,,,2011,1,0,0,,
1383,1383,,2011,WAIVER,,4000,,,,2011,1,0,0,,
7935,7935,,2011,WAIVER,,2000,,,,2011,1,0,0,,
9312,9312,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9850,9850,,2011,WAIVER,,2000,,,,2011,1,0,0,,
6620,6620,,2011,WAIVER,,4000,,,,2011,1,0,0,,
9317,9317,,2011,WAIVER,,1000,,,,2013,3,0,0,,
8381,8381,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9652,9652,,2011,WAIVER,,2000,,,,2011,1,0,0,,
10098,10098,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9418,9418,,2011,WAIVER,,2000,,,,2011,1,0,0,,
6984,6984,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8338,8338,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9117,9117,,2011,WAIVER,,3000,,,,2015,5,0,0,,
7625,7625,,2011,WAIVER,,1000,,,,2011,1,0,0,,
4927,4927,,2011,WAIVER,,3000,,,,2011,1,0,0,,
10423,10423,,2011,WAIVER,,1000,,,,2014,4,0,0,,
7434,7434,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7834,7834,,2011,WAIVER,,1000,,,,2011,1,0,0,,
5919,5919,,2011,WAIVER,,1000,,,,2011,1,0,0,,
2914,2914,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10122,10122,,2011,WAIVER,,3000,,,,2011,1,0,0,,
9446,9446,,2011,WAIVER,,2000,,,,2011,1,0,0,,
9201,9201,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9700,9700,,2011,WAIVER,,2000,,,,2011,1,0,0,,
7429,7429,,2011,WAIVER,,2000,,,,2012,2,0,0,,
5805,5805,,2011,WAIVER,,2000,,,,2011,1,0,0,,
5171,5171,,2011,WAIVER,,2000,,,,2011,1,0,0,,
10022,10022,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7423,7423,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9027,9027,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10185,10185,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7411,7411,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9137,9137,,2011,WAIVER,,2000,,,,2011,1,0,0,,
10368,10368,,2011,WAIVER,,3000,,,,2011,1,0,0,,
9639,9639,,2011,WAIVER,,3000,,,,2011,1,0,0,,
10411,10411,,2011,WAIVER,,1000,,,,2011,1,0,0,,
4894,4894,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7848,7848,,2011,WAIVER,,5000,,,,2011,1,0,0,,
3147,3147,,2011,WAIVER,,2000,,,,2011,1,0,0,,
7671,7671,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7419,7419,,2011,WAIVER,,1000,,,,2011,1,0,0,,
6950,6950,,2011,WAIVER,,1000,,,,2011,1,0,0,,
6840,6840,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10491,10491,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7019,7019,,2011,WAIVER,,2000,,,,2011,1,0,0,,
9124,9124,,2011,WAIVER,,15000,,,,2011,1,0,0,,
9438,9438,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7077,7077,,2011,WAIVER,,1000,,,,2011,1,0,0,,
3887,3887,,2011,WAIVER,,5000,,,,2011,1,0,0,,
9961,9961,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8098,8098,,2011,WAIVER,,1000,,,,2011,1,0,0,,
10533,10533,,2011,WAIVER,,4000,,,,2011,1,0,0,,
8735,8735,,2011,WAIVER,,1000,,,,2011,1,0,0,,
7775,7775,,2011,WAIVER,,3000,,,,2011,1,0,0,,
8786,8786,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8376,8376,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9144,9144,,2011,WAIVER,,3000,,,,2012,2,0,0,,
9743,9743,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8329,8329,,2011,WAIVER,,2000,,,,2011,1,0,0,,
7281,7281,,2011,WAIVER,,1000,,,,2011,1,0,0,,
4924,4924,,2011,WAIVER,,1000,,,,2011,1,0,0,,
8787,8787,,2011,WAIVER,,1000,,,,2011,1,0,0,,
9015,9015,,2011,WAIVER,,2000,,,,2011,1,0,0,,
10314,10314,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9616,9616,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10731,"Toon, Nick",,2012,ROOKIE,24,,,rookie_slot,,2014,3,0,0,,
10706,"Richardson, Trent",,2012,ROOKIE,1,,,rookie_slot,,2014,3,0,0,,
3871,3871,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10730,"Posey, DeVier",,2012,ROOKIE,44,,,rookie_slot,,2012,1,0,0,,
10282,10282,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9915,9915,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10812,"Hillman, Ronnie",,2012,ROOKIE,9,,,rookie_slot,,2012,1,0,0,,
6820,6820,,2012,WAIVER,,2000,,,,2012,1,0,0,,
9442,9442,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8302,8302,,2012,WAIVER,,2000,,,,2012,1,0,0,,
10828,"Wylie, Devon",,2012,ROOKIE,49,,,rookie_slot,,2012,1,0,0,,
10744,"Green, Ladarius",,2012,ROOKIE,26,,,rookie_slot,,2013,2,0,0,,
9480,9480,,2012,WAIVER,,1000,,,,2012,1,0,0,,
7461,7461,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10392,10392,,2012,WAIVER,,10000,,,,2012,1,0,0,,
9921,9921,,2012,WAIVER,,2000,,,,2012,1,0,0,,
10297,10297,,2012,WAIVER,,15000,,,,2014,3,0,0,,
10718,"Pead, Isaiah",,2012,ROOKIE,13,,,rookie_slot,,2013,2,0,0,,
10487,10487,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9905,9905,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9847,9847,,2012,WAIVER,,1000,,,,2012,1,0,0,,
1275,1275,,2012,WAIVER,,3000,,,,2012,1,0,0,,
9625,9625,,2012,WAIVER,,3000,,,,2012,1,0,0,,
8254,8254,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10852,"Thompson, Taylor",,2012,ROOKIE,35,,,rookie_slot,,2012,1,0,0,,
9964,9964,,2012,WAIVER,,4000,,,,2012,1,0,0,,
5025,5025,,2012,WAIVER,,1000,,,,2012,1,0,0,,
7286,7286,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10881,"Herron, Dan",,2012,ROOKIE,57,,,rookie_slot,,2013,2,0,0,,
6636,6636,,2012,WAIVER,,2000,,,,2012,1,0,0,,
9802,9802,,2012,WAIVER,,4000,,,,2012,1,0,0,,
8160,8160,,2012,WAIVER,,1000,,,,2013,2,0,0,,
10732,"Broyles, Ryan",,2012,ROOKIE,37,,,rookie_slot,,2012,1,0,0,,
8371,8371,,2012,WAIVER,,5000,,,,2012,1,0,0,,
9223,9223,,2012,WAIVER,,12000,,,,2012,1,0,0,,
10748,"Coples, Quinton",,2012,ROOKIE,39,,,rookie_slot,,2012,1,0,0,,
10725,"Randle, Rueben",,2012,ROOKIE,19,,,rookie_slot,,2014,3,0,0,,
10761,"Poe, Dontari",,2012,ROOKIE,51,,,rookie_slot,,2012,1,0,0,,
8010,8010,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9104,9104,,2012,WAIVER,,2000,,,,2012,1,0,0,,
10098,10098,,2012,WAIVER,,3000,,,,2012,1,0,0,,
10924,10924,,2012,WAIVER,,5000,,,,2012,1,0,0,,
6567,6567,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9418,9418,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9449,9449,,2012,WAIVER,,2000,,,,2012,1,0,0,,
9542,9542,,2012,WAIVER,,1000,,,,2013,2,0,0,,
10719,"Blackmon, Justin",,2012,ROOKIE,5,,,rookie_slot,,2013,2,0,0,,
10315,10315,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10736,"Givens, Chris",,2012,ROOKIE,59,,,rookie_slot,,2012,1,0,0,,
8549,8549,,2012,WAIVER,,10000,,,,2012,1,0,0,,
10742,"Allen, Dwayne",,2012,ROOKIE,52,,,rookie_slot,,2013,2,0,0,,
10715,"Ballard, Vick",,2012,ROOKIE,47,,,rookie_slot,,2013,2,0,0,,
4927,4927,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10393,10393,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10885,"Streeter, Tommy",,2012,ROOKIE,11,,,rookie_slot,,2012,1,0,0,,
10726,"McNutt, Marvin",,2012,ROOKIE,23,,,rookie_slot,,2012,1,0,0,,
10123,10123,,2012,WAIVER,,1000,,,,2015,4,0,0,,
8682,8682,,2012,WAIVER,,3000,,,,2012,1,0,0,,
10689,10689,,2012,WAIVER,,2000,,,,2012,1,0,0,,
9632,9632,,2012,WAIVER,,3000,,,,2012,1,0,0,,
9700,9700,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10362,10362,,2012,WAIVER,,4000,,,,2013,2,0,0,,
9072,9072,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9073,9073,,2012,WAIVER,,6000,,,,2012,1,0,0,,
10713,"Pierce, Bernard",,2012,ROOKIE,46,,,rookie_slot,,2013,2,0,0,,
10886,"Ganaway, Terrance",,2012,ROOKIE,55,,,rookie_slot,,2012,1,0,0,,
7488,7488,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8022,8022,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9565,9565,,2012,WAIVER,,4000,,,,2012,1,0,0,,
5662,5662,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10712,"Rainey, Chris",,2012,ROOKIE,33,,,rookie_slot,,2012,1,0,0,,
10710,"Polk, Chris",,2012,ROOKIE,50,,,rookie_slot,,2013,2,0,0,,
8792,8792,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10764,"Upshaw, Courtney",,2012,ROOKIE,38,,,rookie_slot,,2012,1,0,0,,
9512,9512,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10984,10984,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10698,"Weeden, Brandon",,2012,ROOKIE,30,,,rookie_slot,,2012,1,0,0,,
10090,10090,,2012,WAIVER,,1000,,,,2012,1,0,0,,
6816,6816,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10905,"Brown, Bryce",,2012,ROOKIE,43,,,rookie_slot,,2012,1,0,0,,
9466,9466,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10707,"Wilson, David",,2012,ROOKIE,6,,,rookie_slot,,2012,1,0,0,,
8106,8106,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9092,9092,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8283,8283,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10318,10318,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9670,9670,,2012,WAIVER,,1000,,,,2012,1,0,0,,
4894,4894,,2012,WAIVER,,3000,,,,2013,2,0,0,,
3969,3969,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10717,"Gray, Cyrus",,2012,ROOKIE,40,,,rookie_slot,,2012,1,0,0,,
4883,4883,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9325,9325,,2012,WAIVER,,4000,,,,2012,1,0,0,,
8721,8721,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10721,"Floyd, Michael",,2012,ROOKIE,7,,,rookie_slot,,2014,3,0,0,,
10800,"Hill, Stephen",,2012,ROOKIE,16,,,rookie_slot,,2013,2,0,0,,
10982,10982,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10601,10601,,2012,WAIVER,,3000,,,,2013,2,0,0,,
6475,6475,,2012,WAIVER,,2000,,,,2012,1,0,0,,
10961,10961,,2012,WAIVER,,4000,,,,2012,1,0,0,,
9648,9648,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9526,9526,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10711,"James, LaMichael",,2012,ROOKIE,25,,,rookie_slot,,2012,1,0,0,,
8295,8295,,2012,WAIVER,,3000,,,,2012,1,0,0,,
10743,"Fleener, Coby",,2012,ROOKIE,8,,,rookie_slot,,2013,2,0,0,,
7446,7446,,2012,WAIVER,,1000,,,,2012,1,0,0,,
9274,9274,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8456,8456,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10171,10171,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10530,10530,,2012,WAIVER,,4000,,,,2012,1,0,0,,
10843,"Childs, Greg",,2012,ROOKIE,42,,,rookie_slot,,2012,1,0,0,,
8303,8303,,2012,WAIVER,,1000,,,,2012,1,0,0,,
7077,7077,,2012,WAIVER,,3000,,,,2012,1,0,0,,
3887,3887,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10803,"Jenkins, A.J.",,2012,ROOKIE,27,,,rookie_slot,,2012,1,0,0,,
9933,9933,,2012,WAIVER,,3000,,,,2012,1,0,0,,
8735,8735,,2012,WAIVER,,1000,,,,2012,1,0,0,,
7775,7775,,2012,WAIVER,,2000,,,,2012,1,0,0,,
9727,9727,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8376,8376,,2012,WAIVER,,1000,,,,2012,1,0,0,,
10735,"Quick, Brian",,2012,ROOKIE,20,,,rookie_slot,,2013,2,0,0,,
10955,10955,,2012,WAIVER,,3000,,,,2012,1,0,0,,
9820,9820,,2012,WAIVER,,3000,,,,2013,2,0,0,,
2965,2965,,2012,WAIVER,,1000,,,,2012,1,0,0,,
8333,8333,,2013,WAIVER,,2000,,,,2013,1,0,0,,
9915,9915,,2013,WAIVER,,2000,,,,2013,1,0,0,,
9930,9930,,2013,WAIVER,,1000,,,,2013,1,0,0,,
7837,7837,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11200,"Randle, Joseph",,2013,ROOKIE,29,,,rookie_slot,,2013,1,0,0,,
11251,"Escobar, Gavin",,2013,ROOKIE,38,,,rookie_slot,,2013,1,0,0,,
11226,"Rogers, Da'Rick",,2013,ROOKIE,20,,,rookie_slot,,2013,1,0,0,,
11009,11009,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10295,10295,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11291,"Brown, Arthur",,2013,ROOKIE,31,,,rookie_slot,,2013,1,0,0,,
7854,7854,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9495,9495,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11233,11233,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11012,11012,,2013,WAIVER,,1000,,,,2013,1,0,0,,
8935,8935,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10301,10301,,2013,WAIVER,,5000,,,,2013,1,0,0,,
11154,"Manuel, E.J.",,2013,ROOKIE,19,,,rookie_slot,,2013,1,0,0,,
9625,9625,,2013,WAIVER,,4000,,,,2013,1,0,0,,
9964,9964,,2013,WAIVER,,7000,,,,2013,1,0,0,,
9435,9435,,2013,WAIVER,,1000,,,,2015,3,0,0,,
8911,8911,,2013,WAIVER,,2000,,,,2013,1,0,0,,
9188,9188,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9705,9705,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10732,10732,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9120,9120,,2013,WAIVER,,2000,,,,2013,1,0,0,,
6589,6589,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10761,10761,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11481,11481,,2013,WAIVER,,2000,,,,2014,2,0,0,,
11153,"Wilson, Tyler",,2013,ROOKIE,30,,,rookie_slot,,2013,1,0,0,,
6620,6620,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11234,"Swope, Ryan",,2013,ROOKIE,35,,,rookie_slot,,2013,1,0,0,,
6984,6984,,2013,WAIVER,,2000,,,,2013,1,0,0,,
10958,10958,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9834,9834,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11183,11183,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11174,"Ball, Montee",,2013,ROOKIE,2,,,rookie_slot,,2013,1,0,0,,
10736,10736,,2013,WAIVER,,1000,,,,2014,2,0,0,,
11123,11123,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10311,10311,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11181,"Franklin, Johnathan",,2013,ROOKIE,8,,,rookie_slot,,2013,1,0,0,,
11229,"Wheaton, Markus",,2013,ROOKIE,17,,,rookie_slot,,2013,1,0,0,,
10139,10139,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10889,10889,,2013,WAIVER,,2000,,,,2013,1,0,0,,
11347,"Cyprien, Johnathan",,2013,ROOKIE,40,,,rookie_slot,,2013,1,0,0,,
9050,9050,,2013,WAIVER,,4000,,,,2013,1,0,0,,
11190,11190,,2013,WAIVER,,10000,,,,2013,1,0,0,,
11194,"Davis, Knile",,2013,ROOKIE,42,,,rookie_slot,,2015,3,0,0,,
10263,10263,,2013,WAIVER,,1000,,,,2015,3,0,0,,
11214,"Dobson, Aaron",,2013,ROOKIE,10,,,rookie_slot,,2014,2,0,0,,
11179,"Michael, Christine",,2013,ROOKIE,12,,,rookie_slot,,2014,2,0,0,,
11218,"Patton, Quinton",,2013,ROOKIE,27,,,rookie_slot,,2015,3,0,0,,
11224,"Boyce, Josh",,2013,ROOKIE,26,,,rookie_slot,,2013,1,0,0,,
11272,"Jones, Datone",,2013,ROOKIE,57,,,rookie_slot,,2013,1,0,0,,
9072,9072,,2013,WAIVER,,2000,,,,2013,1,0,0,,
11231,"Wilson, Marquess",,2013,ROOKIE,49,,,rookie_slot,,2015,3,0,0,,
11125,11125,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11398,11398,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11121,11121,,2013,WAIVER,,3000,,,,2013,1,0,0,,
7488,7488,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10321,10321,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11152,"Glennon, Mike",,2013,ROOKIE,52,,,rookie_slot,,2013,1,0,0,,
11201,"Lacy, Eddie",,2013,ROOKIE,3,,,rookie_slot,,2016,4,0,0,,
7423,7423,,2013,WAIVER,,2000,,,,2013,1,0,0,,
11170,"Bray, Tyler",,2013,ROOKIE,53,,,rookie_slot,,2013,1,0,0,,
9960,9960,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11185,"Williams, Kerwynn",,2013,ROOKIE,48,,,rookie_slot,,2013,1,0,0,,
11189,"Stacy, Zac",,2013,ROOKIE,9,,,rookie_slot,,2013,1,0,0,,
10090,10090,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11198,"Lattimore, Marcus",,2013,ROOKIE,15,,,rookie_slot,,2013,1,0,0,,
10905,10905,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10674,10674,,2013,WAIVER,,4000,,,,2013,1,0,0,,
11019,11019,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10529,10529,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11290,"Jones, Jarvis",,2013,ROOKIE,56,,,rookie_slot,,2013,1,0,0,,
11295,"Mingo, Barkevious",,2013,ROOKIE,45,,,rookie_slot,,2015,3,0,0,,
8715,8715,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9025,9025,,2013,WAIVER,,3000,,,,2013,1,0,0,,
10412,10412,,2013,WAIVER,,3000,,,,2016,4,0,0,,
9936,9936,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10097,10097,,2013,WAIVER,,1000,,,,2013,1,0,0,,
8106,8106,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10318,10318,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11077,11077,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11212,"Hunter, Justin",,2013,ROOKIE,14,,,rookie_slot,,2013,1,0,0,,
9871,9871,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11223,"Bailey, Stedman",,2013,ROOKIE,22,,,rookie_slot,,2013,1,0,0,,
9319,9319,,2013,WAIVER,,1000,,,,2013,1,0,0,,
8497,8497,,2013,WAIVER,,1000,,,,2013,1,0,0,,
4883,4883,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11406,11406,,2013,WAIVER,,1000,,,,2015,3,0,0,,
11263,"Jordan, Dion",,2013,ROOKIE,34,,,rookie_slot,,2013,1,0,0,,
7826,7826,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11176,"Taylor, Stepfan",,2013,ROOKIE,32,,,rookie_slot,,2013,1,0,0,,
11409,"Johnson, Charles",,2013,ROOKIE,46,,,rookie_slot,,2013,1,0,0,,
9867,9867,,2013,WAIVER,,1000,,,,2013,1,0,0,,
10929,10929,,2013,WAIVER,,19000,,,,2013,1,0,0,,
11426,11426,,2013,WAIVER,,1000,,,,2013,1,0,0,,
8375,8375,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11310,"Minter, Kevin",,2013,ROOKIE,59,,,rookie_slot,,2013,1,0,0,,
9979,9979,,2013,WAIVER,,1000,,,,2013,1,0,0,,
9124,9124,,2013,WAIVER,,6000,,,,2013,1,0,0,,
11292,"Te'o, Manti",,2013,ROOKIE,41,,,rookie_slot,,2014,2,0,0,,
11210,"Robinson, Denard",,2013,ROOKIE,36,,,rookie_slot,,2014,2,0,0,,
10944,10944,,2013,WAIVER,,1000,,,,2013,1,0,0,,
8303,8303,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11384,11384,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11151,"Barkley, Matt",,2013,ROOKIE,24,,,rookie_slot,,2015,3,0,0,,
8735,8735,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11432,11432,,2013,WAIVER,,4000,,,,2013,1,0,0,,
9144,9144,,2013,WAIVER,,4000,,,,2013,1,0,0,,
11058,11058,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11243,11243,,2013,WAIVER,,1000,,,,2013,1,0,0,,
11526,11526,,2013,WAIVER,,3000,,,,2013,1,0,0,,
11332,11332,,2014,WAIVER,,1000,,,,2014,1,0,0,,
11663,"Johnson, Storm",,2014,ROOKIE,37,,,rookie_slot,,2014,1,0,0,,
9915,9915,,2014,WAIVER,,1000,,,,2014,1,0,0,,
9903,9903,,2014,WAIVER,,1000,,,,2014,1,0,0,,
11696,"Amaro, Jace",,2014,ROOKIE,19,,,rookie_slot,,2014,1,0,0,,
10186,10186,,2014,WAIVER,,1000,,,,2014,1,0,0,,
11722,"Shazier, Ryan",,2014,ROOKIE,38,,,rookie_slot,,2016,3,0,0,,
11009,11009,,2014,WAIVER,,1000,,,,2014,1,0,0,,
9307,9307,,2014,WAIVER,,4000,,,,2014,1,0,0,,
11703,"Niklas, Troy",,2014,ROOKIE,50,,,rookie_slot,,2014,1,0,0,,
11809,"Taliaferro, Lorenzo",,2014,ROOKIE,34,,,rookie_slot,,2014,1,0,0,,
11645,11645,,2014,WAIVER,,4000,,,,2014,1,0,0,,
9948,9948,,2014,WAIVER,,1000,,,,2014,1,0,0,,
