pid,name,pos,owner,status,cy,cl,salary,tcv,canon_aav,extended,rem_cash,dyn_raw,ep,entry_type,tier,cohort,coh_n,elapsed,exp_ext_years,E_total_years,ext_ann_cost,cur_ultimate,reb_ultimate,delta,opt_band
16809,Jalen Coker,WR,Gride,Rookie-MYM,1,3,1000,3000.0,1000,False,1,12,11,WAIVER,T4,WR T4,294,2,1.24,2.24,11000,22.0,22.0,0.0,0.0
13163,Chris Godwin Jr.,WR,Blake Bombers,Vet-FAA,1,2,10000,20000.0,10000,False,10,17,15,FAA,T4,WR T4,294,1,1.28,2.28,20000,22.0,22.0,0.0,0.0
16204,Tank Dell,WR,Sex Manther,Vet-MYM,2,3,1000,3000.0,1000,False,1|1,9,8,WAIVER,T4,WR T4,294,1,1.24,3.24,11000,21.8,21.8,0.0,0.0
15256,Javonte Williams,RB,HammerTime 🔨 ⏰,Tag,1,1,30000,30000.0,30000,False,30,23,28,ROOKIE,T3,rookie RB T3,34,5,2.67,3.67,40000,21.0,21.0,0.0,0.0
16747,Tyrone Tracy Jr.,RB,C-Town Chivalry,Rookie-Draft,1,3,2000,6000.0,2000,False,2,15,8,ROOKIE,T4,rookie RB T4,85,2,0.97,1.97,12000,21.0,21.0,0.0,0.0
14127,Jakobi Meyers,WR,Hawks,Vet-FAA,1,3,4000,12000.0,4000,False,4,13,12,FAA,T4,WR T4,294,2,1.24,2.24,14000,21.0,21.0,0.0,0.0
11671,Mike Evans,WR,Hawks,Vet-FAA,1,3,24000,72000.0,24000,False,24,15,30,FAA,T3,WR T3,309,2,1.88,2.88,34000,21.0,21.0,0.0,0.0
17256,Jacory Croskey-Merritt,RB,Sex Manther,Rookie-Draft,2,3,2000,6000.0,2000,False,2|2,12,7,ROOKIE,T4,rookie RB T4,85,1,0.97,2.97,12000,20.7,20.7,0.0,0.0
16723,AJ Barner,TE,Blake Bombers,Vet-FAA,1,2,1000,2000.0,1000,False,1,11,10,FAA,T4,TE T4,162,1,1.06,2.06,11000,20.0,20.0,0.0,0.0
16195,Dontayvion Wicks,WR,The Long Haulers,Vet-MYM,2,3,1000,3000.0,1000,False,1|1,8,7,WAIVER,T4,WR T4,294,1,1.24,3.24,11000,19.0,19.0,0.0,0.0
16174,Chris Rodriguez Jr.,RB,Real Deal Creel,Vet-ERA,1,1,3000,3000.0,3000,False,3,14,8,ROOKIE,T4,rookie RB T4,85,3,1.4,2.4,13000,19.0,19.0,0.0,0.0
16165,Tyjae Spears,RB,The Long Haulers,Vet-ERA,3,3,1000,3000.0,1000,False,1|1|1,9,5,ROOKIE,T4,rookie RB T4,85,3,4.0,7.0,11000,18.4,18.4,0.0,0.0
14833,Jerry Jeudy,WR,Cleon Ca$h,Vet-FAA-FL,1,3,1000,9000.0,3000,False,1,10,9,FAA,T4,WR T4,294,2,1.24,2.24,13000,16.0,18.0,2.0,0.0
17106,Mason Taylor,TE,HammerTime 🔨 ⏰,Rookie-Draft,2,3,2000,6000.0,2000,False,2|2,8,7,ROOKIE,T3,rookie TE T3,23,1,1.11,3.11,12000,17.1,17.1,0.0,0.0
13635,DJ Moore,WR,Gride,Vet-FAA,1,2,21000,42000.0,21000,False,21,17,21,FAA,T3,WR T3,309,1,1.53,2.53,31000,17.0,17.0,0.0,0.0
16186,Jordan Addison,WR,HammerTime 🔨 ⏰,Vet-Ext1,1,2,17000,24000.0,17000.0,True,17,18,16,ROOKIE,T3,rookie WR T3,57,3,3.04,4.04,27000,22.0,17.0,-5.0,0.0
12626,Derrick Henry,RB,The Long Haulers,Vet-Ext1,1,2,44000,94000.0,44000.0,True,44,21,40,FAA,T3,RB T3,272,2,1.18,2.18,54000,14.0,17.0,3.0,0.0
17053,Woody Marks,RB,The Long Haulers,Rookie-Draft,2,3,2000,6000.0,2000,False,2|2,10,6,ROOKIE,T4,rookie RB T4,85,1,0.97,2.97,12000,17.0,17.0,0.0,0.0
16187,Josh Downs,WR,The Long Haulers,Vet-Ext1,1,2,12000,14000.0,12000.0,True,12,15,14,ROOKIE,T3,rookie WR T3,57,3,3.04,4.04,22000,22.0,17.0,-5.0,0.0
16178,Keaton Mitchell,RB,CBP,Vet-WW,2,3,1000,3000.0,1000,False,1|1,9,5,FAA,T4,RB T4,336,1,1.12,3.12,11000,16.1,16.1,0.0,0.0
16080,Rashid Shaheed,WR,Blake Bombers,Vet-ERA,2,3,7000,21000.0,7000,False,7|7,11,10,ERA,T4,WR T4,294,1,1.24,3.24,17000,16.1,16.1,0.0,0.0
16189,Marvin Mims Jr.,WR,L.A. Looks,Vet-ERA,1,1,1000,1000.0,1000,False,1,9,8,ROOKIE,T4,rookie WR T4,84,3,1.61,2.61,11000,16.0,16.0,0.0,0.0
11675,Davante Adams,WR,Pure Greatness,Vet-FAA-FL,1,3,20000,90000.0,30000,False,20,15,21,FAA,T2,WR T2,79,2,0.9,1.9,40000,6.0,16.0,10.0,0.0
16287,Tre Tucker,WR,The Long Haulers,Vet-WW,1,3,1000,3000.0,1000,False,1,9,8,WAIVER,T4,WR T4,294,2,1.24,2.24,11000,16.0,16.0,0.0,0.0
16169,Zach Charbonnet,RB,L.A. Looks,Vet-ERA,1,1,7000,7000.0,7000,False,7,14,8,ROOKIE,T3,rookie RB T3,34,3,1.67,2.67,17000,15.0,15.0,0.0,0.0
16193,Kayshon Boutte,WR,Real Deal Creel,Vet-ERA,1,1,2000,2000.0,2000,False,2,9,8,ROOKIE,T4,rookie WR T4,84,3,1.61,2.61,12000,15.0,15.0,0.0,0.0
13674,Dallas Goedert,TE,Real Deal Creel,Vet-FAA,1,2,7000,14000.0,7000,False,7,11,10,FAA,T4,TE T4,162,1,1.06,2.06,17000,14.0,14.0,0.0,0.0
16152,Anthony Richardson Sr.,QB,HammerTime 🔨 ⏰,Vet-WW,2,3,11000,33000.0,11000,False,11|11,12,12,WAIVER,T4,QB T4,71,1,4.0,6.0,21000,13.5,13.5,0.0,0.0
16643,Ja'Tavion Sanders,TE,Real Deal Creel,Vet-MYM,2,3,1000,3000.0,1000,False,1|1,6,5,WAIVER,T4,TE T4,162,1,1.03,3.03,11000,13.3,13.3,0.0,0.0
13630,Courtland Sutton,WR,L.A. Looks,Vet-Ext1,1,2,15000,30000.0,15000.0,True,15,14,14,FAA,T4,WR T4,294,3,1.91,2.91,25000,13.0,13.0,0.0,0.0
16597,Jonathon Brooks,RB,Sex Manther,Rookie-Draft,1,3,7000,21000.0,7000,False,7,13,7,ROOKIE,T3,rookie RB T3,34,2,1.81,2.81,17000,13.0,13.0,0.0,0.0
16584,J.J. McCarthy,QB,Cleon Ca$h,Rookie-Draft,1,3,11000,33000.0,11000,False,11,12,12,ROOKIE,T1,rookie QB top-tier(T1-3 pooled),44,2,2.78,3.78,21000,13.0,13.0,0.0,0.0
14071,David Montgomery,RB,HammerTime 🔨 ⏰,Vet-Ext1,2,2,12000,42000.0,12000.0,True,12|30,16,20,FAA,T4,RB T4,336,1,1.12,3.12,22000,11.9,12.8,0.9,0.0
16164,Tank Bigsby,RB,L.A. Looks,Vet-ERA,1,1,4000,4000.0,4000,False,4,10,6,ROOKIE,T4,rookie RB T4,85,3,1.4,2.4,14000,12.0,12.0,0.0,0.0
16619,Troy Franklin,WR,HammerTime 🔨 ⏰,Rookie-Draft,1,3,5000,15000.0,5000,False,5,9,8,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,12.0,12.0,0.0,0.0
16617,Keon Coleman,WR,Real Deal Creel,Rookie-Draft,1,3,5000,15000.0,5000,False,5,9,8,ROOKIE,T3,rookie WR T3,57,2,2.3,3.3,15000,12.0,12.0,0.0,0.0
16184,Jayden Reed,WR,Blake Bombers,Vet-Ext1,1,1,15000,15000.0,15000.0,True,15,14,13,ROOKIE,T4,rookie WR T4,84,3,1.61,2.61,25000,12.0,12.0,0.0,0.0
15802,Cade Otton,TE,The Long Haulers,Vet-FAA,2,3,5000,15000.0,5000,False,5|5,8,7,ERA,T4,TE T4,162,1,1.03,3.03,15000,11.4,11.4,0.0,0.0
17134,Kyle Williams,WR,Sex Manther,Rookie-Draft,2,3,5000,15000.0,5000,False,5|5,8,7,ROOKIE,T3,rookie WR T3,57,1,2.3,4.3,15000,11.4,11.4,0.0,0.0
17171,Chimere Dike,WR,Hawks,Rookie-MYM,2,3,5000,15000.0,5000,False,5|5,8,7,WAIVER,T4,WR T4,294,1,1.24,3.24,15000,11.4,11.4,0.0,0.0
14136,Deebo Samuel Sr.,WR,Gride,Vet-FAA,2,3,8000,24000.0,8000,False,8|8,10,9,FAA,T4,WR T4,294,1,1.24,3.24,18000,11.3,11.3,0.0,0.0
17074,Travis Hunter,WR,Sex Manther,Rookie-Draft,2,3,14000,42000.0,14000,False,14|14,14,13,ROOKIE,T2,rookie WR top-tier(T1-3 pooled),57,1,2.3,4.3,24000,11.3,11.3,0.0,0.0
13772,Dalton Schultz,TE,Pure Greatness,Vet-FAA,1,3,4000,12000.0,4000,False,4,8,7,FAA,T4,TE T4,162,2,1.03,2.03,14000,11.0,11.0,0.0,0.0
16188,Quentin Johnston,WR,The Long Haulers,Vet-Ext1,1,1,18000,18000.0,18000.0,True,18,15,14,ROOKIE,T3,rookie WR T3,57,3,3.04,4.04,28000,11.0,11.0,0.0,0.0
16212,Michael Mayer,TE,Real Deal Creel,Vet-ERA,1,1,2000,2000.0,2000,False,2,7,6,ROOKIE,T3,rookie TE T3,23,3,0.67,1.67,12000,11.0,11.0,0.0,0.0
14778,Tua Tagovailoa,QB,C-Town Chivalry,Vet-Ext2,1,3,15000,116000.0,15000.0,True,15,13,13,FAA,T3,QB T3,39,4,4.0,5.0,25000,-12.7,11.0,23.7,0.0
15787,Tyquan Thornton,WR,Real Deal Creel,Vet-MYM,2,3,1000,3000.0,1000,False,1|1,5,4,WAIVER,,WR pooled,743,1,1.38,3.38,11000,10.4,10.4,0.0,0.0
16752,Isaiah Davis,RB,C-Town Chivalry,Vet-ERA,2,3,1000,3000.0,1000,False,1|1,5,4,ERA,T3,RB T3,272,1,1.18,3.18,11000,10.3,10.3,0.0,0.0
14871,Colby Parkinson,TE,L.A. Looks,Vet-MYM,1,2,1000,2000.0,1000,False,1,6,5,WAIVER,,TE pooled,319,1,1.24,2.24,11000,10.0,10.0,0.0,0.0
14800,J.K. Dobbins,RB,Hawks,Vet-FAA,1,3,9000,27000.0,9000,False,9,12,7,FAA,T4,RB T4,336,2,1.12,2.12,19000,10.0,10.0,0.0,0.0
17046,Devin Neal,RB,Gride,Rookie-Draft,2,3,2000,6000.0,2000,False,2|2,6,4,ROOKIE,T3,rookie RB T3,34,1,1.81,3.81,12000,9.4,9.4,0.0,0.0
17205,KeAndre Lambert-Smith,WR,The Long Haulers,Rookie-MYM,2,3,1000,3000.0,1000,False,1|1,4,4,FAA,T4,WR T4,294,1,1.24,3.24,11000,9.4,9.4,0.0,0.0
16757,Kimani Vidal,RB,Gride,Rookie-Draft,1,3,2000,6000.0,2000,False,2,7,4,ROOKIE,T4,rookie RB T4,85,2,0.97,1.97,12000,9.0,9.0,0.0,0.0
16639,Xavier Legette,WR,Pure Greatness,Rookie-Draft,1,3,2000,6000.0,2000,False,2,6,5,ROOKIE,T4,rookie WR T4,84,2,1.22,2.22,12000,9.0,9.0,0.0,0.0
14823,Rico Dowdle,RB,Blake Bombers,Vet-Ext1,1,2,11000,12000.0,11000.0,True,11,13,7,FAA,T4,RB T4,336,1,1.31,2.31,21000,14.0,9.0,-5.0,0.0
14138,T.J. Hockenson,TE,HammerTime 🔨 ⏰,Vet-MYM,2,3,11000,33000.0,11000,False,11|11,11,10,WAIVER,T3,TE T3,97,1,1.06,3.06,21000,8.6,8.6,0.0,0.0
17058,Tahj Brooks,RB,Sex Manther,Rookie-Draft,2,3,2000,6000.0,2000,False,2|2,5,4,ROOKIE,T4,rookie RB T4,85,1,0.97,2.97,12000,8.4,8.4,0.0,0.0
17068,RJ Harvey,RB,Hawks,Rookie-Draft,2,3,11000,33000.0,11000,False,11|11,15,8,ROOKIE,T3,rookie RB T3,34,1,1.81,3.81,21000,8.4,8.4,0.0,0.0
15799,Jake Ferguson,TE,L.A. Looks,Vet-Ext1,1,2,21000,32000.0,21000.0,True,21,15,14,FAA,T4,TE T4,162,3,1.88,2.88,31000,13.0,8.0,-5.0,0.0
