relative_path,artifact_type,purpose,inputs,outputs,refresh_cadence,dependencies,last_modified,size_bytes,notes
site/reports/qb_under_contract_dropped_lineage_2024_to_2025.csv,json_data,,,,unknown,,2026-02-16,2217,
site/reports/reports.css,css,Reports styling,,Reports UI styling,on_page_load,,2026-03-13,7517,
site/reports/reports.js,js_module,Reports router/navigation,,Reports hub UI navigation,,,2026-03-09,5952,
site/reports/reports_router.js,js_module,Advanced reports router,,Report route handling,,,2026-03-09,7758,
site/reports/salary_adjustments/salary_adjustments.css,css,Salary adjustments styling,,Salary adjustments UI styling,,,2026-03-09,5943,
site/reports/salary_adjustments/salary_adjustments.js,js_module,Salary adjustments by year,salary_adjustments_2012-2026.json; salary_adjustments_manifest.json,Salary adjustment UI with year filter,,,2026-03-09,31050,
site/reports/salary_adjustments/salary_adjustments_2012.json,json_data,,,,unknown,,2026-03-17,9215,
site/reports/salary_adjustments/salary_adjustments_2017.json,json_data,,,,unknown,,2026-03-17,4856,
site/reports/salary_adjustments/salary_adjustments_2018.json,json_data,,,,unknown,,2026-03-17,13896,
site/reports/salary_adjustments/salary_adjustments_2019.json,json_data,,,,unknown,,2026-03-17,38938,
site/reports/salary_adjustments/salary_adjustments_2020.json,json_data,,,,unknown,,2026-03-17,118043,
site/reports/salary_adjustments/salary_adjustments_2021.json,json_data,,,,unknown,,2026-03-17,146616,
site/reports/salary_adjustments/salary_adjustments_2022.json,json_data,,,,unknown,,2026-03-17,218060,
site/reports/salary_adjustments/salary_adjustments_2023.json,json_data,,,,unknown,,2026-03-17,284860,
site/reports/salary_adjustments/salary_adjustments_2024.json,json_data,,,,unknown,,2026-03-17,213435,
site/reports/salary_adjustments/salary_adjustments_2025.json,json_data,,,,unknown,,2026-03-17,272370,
site/reports/salary_adjustments/salary_adjustments_2025_derived_vs_mfl_mismatches.csv,json_data,,,,unknown,,2026-03-17,27795,
site/reports/salary_adjustments/salary_adjustments_2025_derived_vs_mfl_mismatches.json,json_data,,,,unknown,,2026-03-17,88522,
site/reports/salary_adjustments/salary_adjustments_2026.json,json_data,,,,unknown,,2026-03-17,79437,
site/reports/salary_adjustments/salary_adjustments_data_dictionary.md,other,,,,unknown,,2026-03-17,9471,
site/reports/salary_adjustments/salary_adjustments_manifest.json,json_data,,,,unknown,,2026-03-17,5908,
site/reports/salary_adjustments/salary_adjustments_sql.sql,other,,,,unknown,,2026-03-17,3476,
site/reports/tagging_2026_exclusions.json,json_data,,,,unknown,,2026-02-16,5690,
site/reports/transactions/transaction_reports.js,js_module,Transaction history reports,,Transaction reports page,,,2026-03-09,873,
site/rookies/CHANGELOG.md,other,Rookies module changelog,,Version history,,,2026-04-20,4989,
site/rookies/VERSION.json,json_data,Rookies module version tracking,,Version metadata,,,2026-04-20,4721,
site/rookies/_extension_audit_anomalies.csv,json_data,,,,unknown,,unknown,51228,
site/rookies/_unmatched_rookies.csv,json_data,,,,unknown,,unknown,7742,
site/rookies/mfl_hpm_embed_loader.js,loader,Rookie context loader,,Rookie draft hub iframe,on_page_load,,2026-04-21,5765,
site/rookies/rookie_ap_vs_ep.json,json_data,,,,unknown,,2026-04-20,147684,
site/rookies/rookie_cohort_outcomes.csv,json_data,,,,unknown,,unknown,106002,
site/rookies/rookie_draft_day_trades.json,json_data,,,,unknown,,2026-04-21,263435,
site/rookies/rookie_draft_history.json,json_data,,,,unknown,,2026-04-21,2628686,
site/rookies/rookie_draft_hub.css,css,Rookie draft UI styling (16KB),,Draft hub styling,on_page_load,,2026-04-21,16098,
site/rookies/rookie_draft_hub.html,html_page,Rookie draft hub page (22KB),,Draft analytics UI,on_demand,,2026-04-20,22737,
site/rookies/rookie_draft_hub.js,js_module,"Rookie draft analytics: tier outcomes, historical picks, prospects, AP/EP analysis",rookie_draft_*.json files; /api/me endpoint; rookie_prospects_2026.json,Interactive draft analytics with Live/Historical/AP-EP tabs; version badge,on_demand,Multiple JSON data files; /api/me for user state,2026-04-23,186847,TIER_DEFS hardcoded; NET metric formula in comments
site/rookies/rookie_draft_hub_2026.json,json_data,,,,unknown,,2026-04-20,21344,
site/rookies/rookie_draft_team_tendencies.json,json_data,,,,unknown,,2026-04-20,50340,
site/rookies/rookie_draft_tiers.json,json_data,,,,unknown,,2026-04-20,39715,
site/rookies/rookie_extension_followthrough.csv,json_data,,,,unknown,,unknown,31466,
site/rookies/rookie_future_picks.json,json_data,,,,unknown,,2026-04-20,34878,
site/rookies/rookie_hit_rate_matrix.json,json_data,,,,unknown,,unknown,21868,
site/rookies/rookie_prospects_2026.json,json_data,,,,unknown,,2026-04-20,65866,
site/rosters/contract_submissions/contract_activity_2026.json,json_data,,,,unknown,,2026-03-12,1205,
site/rosters/mfl_hpm_embed_loader.js,loader,Roster context loader,"Window.UPS_RWB_LEAGUE_ID, YEAR; URL path",Roster workbench iframe,on_page_load,,2026-03-07,6342,BUILD: 2026.03.07.2
site/rosters/mflscripts_rosters_fork.js,js_module,Fork of mflscripts rosters module (55KB),,Extended roster functionality,,,2026-02-28,55910,
site/rosters/player_acquisition_lookup_2026.json,json_data,,,,unknown,,2026-03-10,119020,
site/rosters/player_points_history.json,json_data,,,,unknown,,2026-03-27,961886,
site/rosters/roster_workbench.css,css,Roster UI styling (52KB),,Roster grid styling,on_page_load,,2026-04-22,53130,
site/rosters/roster_workbench.html,html_page,Roster workbench page,,Roster management UI,on_demand,,2026-03-01,421,
site/rosters/roster_workbench.js,js_module,"Roster UI: grid with filtering, sorting, contract actions, extension/restructure/tag options",player_points_history.json; player_acquisition_lookup_2026.json; MFL API /league/roster; salary_adjustments data,"Interactive roster with live points, bye weeks, extension calculations",on_demand,roster_workbench.css; multiple JSON data files,2026-04-23,483252,BOOT: 2026.03.11.01; hardcoded MIN/MAX roster sizes; extension rates hardcoded
site/rosters/ups_trade_offer_patch.js,js_module,Trade offer patching/interceptor,,Trade offer enhancements,,,2026-02-26,20653,
site/rulebook/index.html,html_page,Rulebook index/intro page,,Rulebook landing page,,,2026-03-18,1067,
site/rulebook/ups_v2_rulebook_mobile_preview.html,html_page,Mobile-optimized rulebook (89KB),,League rulebook,,,2026-03-18,91216,
site/standings/mfl_hpm_embed_loader.js,loader,Standings context loader,Window.UPS_RELEASE_SHA; URL path,Standings iframe,on_page_load,site/standings/mfl_hpm_standings.html,2026-02-24,4503,
site/standings/mfl_hpm_standings.html,html_page,"Standings page (large, 99KB)",,League standings display,on_demand,,2026-02-24,101260,
site/standings/standings_25625_2025.json,json_data,,,,unknown,,2026-02-17,27954,
site/standings/standings_25625_2026.json,json_data,,,,unknown,,2026-02-17,29949,
site/standings/standings_27191_2016.json,json_data,,,,unknown,,2026-02-24,18919,
site/standings/standings_29015_2015.json,json_data,,,,unknown,,2026-02-24,18934,
site/standings/standings_30590_2014.json,json_data,,,,unknown,,2026-02-24,18904,
site/standings/standings_37227_2012.json,json_data,,,,unknown,,2026-02-24,35910,
site/standings/standings_40832_2011.json,json_data,,,,unknown,,2026-02-24,18824,
site/standings/standings_42721_2013.json,json_data,,,,unknown,,2026-02-24,18952,
site/standings/standings_60671_2010.json,json_data,,,,unknown,,2026-02-24,17923,
site/standings/standings_74598_2017.json,json_data,,,,unknown,,2026-02-24,18993,
site/standings/standings_74598_2018.json,json_data,,,,unknown,,2026-02-24,19288,
site/standings/standings_74598_2019.json,json_data,,,,unknown,,2026-02-24,19068,
site/standings/standings_74598_2020.json,json_data,,,,unknown,,2026-02-24,37335,
site/standings/standings_74598_2021.json,json_data,,,,unknown,,2026-02-24,42303,
site/standings/standings_74598_2022.json,json_data,,,,unknown,,2026-02-24,42275,
site/standings/standings_74598_2023.json,json_data,,,,unknown,,2026-02-24,42318,
site/standings/standings_74598_2024.json,json_data,,,,unknown,,2026-02-24,42326,
site/standings/standings_74598_2025.json,json_data,,,,unknown,,2026-02-24,42678,
site/standings/standings_74598_2026.json,json_data,,,,unknown,,2026-02-24,30214,
site/stats_workbench/mfl_hpm_embed_loader.js,loader,Stats context loader,,Stats workbench iframe,on_page_load,,2026-04-23,2044,
site/stats_workbench/stats_workbench.html,html_page,Stats workbench page (141KB),,Stats analytics UI,on_demand,,2026-04-25,141213,
site/team_operations/mfl_hpm_embed_loader.js,loader,Team ops context loader,,Team ops iframe,on_page_load,,2026-04-18,5714,
site/team_operations/team_operations.css,css,Team operations styling,,Team management UI styling,on_page_load,,2026-04-18,10688,
site/team_operations/team_operations.js,js_module,Team operations dashboard,,Team management UI,on_demand,,2026-04-18,28722,
site/trades/README.md,other,Trades module documentation,,Project documentation,,,2026-03-09,3495,
site/trades/extension_previews_2026.json,json_data,,,,unknown,,2026-03-08,1202946,
site/trades/mfl_hpm_embed_loader.js,loader,Trade context loader,Window.UPS_RELEASE_SHA; URL path,Trade workbench iframe,on_page_load,,2026-03-10,12365,
site/trades/trade_offers_25625_2026.json,json_data,,,,unknown,,2026-03-01,112140,
site/trades/trade_offers_74598_2026.json,json_data,,,,unknown,,2026-04-18,131370,
site/trades/trade_offers_74598_2099.json,json_data,,,,unknown,,2026-02-26,1527,
site/trades/trade_outbox_25625_2026.json,json_data,,,,unknown,,2026-03-01,153863,
site/trades/trade_outbox_74598_2026.json,json_data,,,,unknown,,2026-04-18,300007,
site/trades/trade_workbench.css,css,Trade UI styling (40KB),,Trade builder styling,on_page_load,,2026-03-10,41072,
site/trades/trade_workbench.html,html_page,Trade workbench page (11.7KB),,Trade builder UI,on_demand,,2026-03-10,11761,
site/trades/trade_workbench.js,js_module,"Trade builder: asset selection, salary limits, extension calcs, multi-team offers",trade_workbench_sample.json; MFL API league data; localStorage for state,Trade offers submitted to worker; displays offered/received trades,on_demand,trade_workbench.css; trade_workbench_sample.json,2026-04-22,250588,Extension rates hardcoded; GROUP_ORDER hardcoded
site/trades/trade_workbench_sample.json,json_data,,,,unknown,,2026-02-26,13790,
site/ups_issue_report.html,html_page,Standalone bug report form; auto-detects league/year/franchise/theme and loads via iframe,"League ID, year, franchise ID from URL/cookies; upsmflproduction worker; MFL_USER_ID cookie",Bug reports submitted to worker; Discord notifications,on_demand,,2026-03-11,4058,rawcdn.githack.com hosted; detects theme via data-ups-mode
site/ups_options_widget.css,css,"UOW styling for countdown, date display, modal forms, dropzone",,"Styled event countdown UI, bug report modal",on_page_load,,2026-03-11,9084,
site/ups_options_widget.html,html_page,UOW standalone HTML page with embedded JS/CSS loaders,ups_options_widget.js; ups_options_widget.css,Standalone UOW application,on_demand,,2026-03-11,4156,
site/ups_options_widget.js,js_module,"Main UOW app: event countdown/date toggle, bug report form with Discord integration",ups_options_widget_schedule_*.json; ups_options_widget_latest.json; MFL API; upsmflproduction.keith-creelman.workers.dev/offer-*,Event countdown display; bug reports sent to Discord worker; screenshot attachments,on_demand,ups_options_widget.css; ups_options_widget_schedule_*.json,2026-03-17,59420,"Hardcoded MFL_API_BASE, TIMEZONE=America/New_York, BUG_REPORT_WORKER_DEFAULT"
site/ups_options_widget_embed_loader.js,loader,Embed loader for UOW; loads UOW assets from CDN with release pinning via SHA,Window.UPS_UOW_RELEASE_SHA; URL query params,Loads ups_options_widget.js and CSS into host page,on_page_load,,2026-03-11,33003,Multiple build versions; CDN-hosted
site/ups_options_widget_latest.js,js_module,Version alias pointer (41 bytes),,Latest version redirect,on_demand,,2026-03-11,41,
site/ups_options_widget_latest.json,json_data,Latest version metadata,,Version info,on_demand,,2026-03-11,29,
site/ups_options_widget_schedule_2026.json,json_data,"2026 event schedule (seasonStart, ownersMeeting, expiringDeadline, rookieDraft, cutDeadline, faAuction)",Manual/configuration,Event dates for UOW countdown,scheduled,,2026-02-16,808,
